BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02147-7505,628-R1,134 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,36,1997,45801,833578,18.2,3300004,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.4,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.45
3-02147-7506,656-R1,150 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,12,1924,38800,669300,17.25,2650002,68,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,1.2,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.4
3-02165-7501,881-R1,525 KENT AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,66,2001,85046,1785966,21,7750005,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.75,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3072845,29.1,14700000,139,1.1
3-02165-7502,872-R1,580 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,68,0,83403,1751463,21,7600012,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.75,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3072845,29.1,14700000,139,1.1
3-02165-7503,901-R1,570 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,48,0,67712,1489664,22,6469992,96,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.3,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.75
3-02173-7501,143-R1,149 TAYLOR STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,1900,25704,286856,11.16,890999,34.7,3-02188-0016,200 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,30,1916,25000,278931,11.16,867000,34.7,0.2,3-02188-0013,190 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,30,1920,27498,278931,10.14,796000,28.9,0.2
3-02173-7504,1411-R1,177 TAYLOR STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,14884,249307,16.75,987002,66,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,302080,15.55,1200000,62,0.35,3-02409-0008,260 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,298043,18.82,1180000,75,0.45
3-02183-7501,1132-R1,202 DIVISION AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1998,25203,459702,18.24,1820002,72,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.45,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.4
3-02186-7501,178-R1,562 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,66,1988,92218,1521597,16.5,6020004,65,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,2.3,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,1.15
3-02200-7501,993-R1,234 KEAP STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1999,19680,309960,15.75,1230006,63,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.5,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.55
3-02201-7502,892-R1,266 KEAP STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,1915,25980,341637,13.15,1250001,48.1,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.2,,,,,,,,,,,,
3-02204-7502,1431-R1,616 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,20000,323400,16.17,1280001,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.65,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.6
3-02223-7502,1449-R1,790 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,0,16950,317812,18.75,1260006,74,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.8,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.8
3-02223-7503,1450-R1,796 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2005,16950,317812,18.75,1260006,74,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.8,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.8
3-02224-7502,718-R1,29 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1999,22844,369387,16.17,1459998,64,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.75,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.7
3-02224-7504,733-R1,35 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,0,22704,367123,16.17,1449996,64,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.75,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.7
