BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02251-7504,1704-R1,33 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,13,2006,20004,480096,24,2080010,104,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.15,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,1.05
3-02260-7501,1099-R1,760 KENT AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,33,2004,40200,609030,15.15,2409998,60,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.55,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.8
3-02262-7503,1355-R1,132 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24331,393432,16.17,1560000,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.75
3-02262-7504,1354-R1,136 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24331,393432,16.17,1560000,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.75
3-02262-7505,1356-R1,429 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24635,398347,16.17,1580002,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.75
3-02262-7506,1350-R1,417 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2004,16303,342363,21,1490007,91,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,1.05,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,1.15
3-02262-7507,1352-R1,730 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,2004,14998,329956,22,1430000,95,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02413-0028,393 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,21,1915,14059,201086,14.3,753000,54,0.8
3-02262-7508,1567-R1,405 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,27,2006,39038,631244,16.17,2500003,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.75
3-02263-7502,1201-R1,713 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2004,20148,282072,14,1029996,51,3-02593-0022,114 CALYER STREET,GREENPOINT,C1-WALK-UP,11,2005,16000,236982,14.81,865000,54,1.9,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.8
3-02263-7503,1202-R1,717 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2002,20931,313965,15,1150002,55,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,241459,8.23,623000,21.23,0.75,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.8
3-02263-7504,1203-R1,721 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2002,15840,273240,17.25,1080000,68,3-02593-0022,114 CALYER STREET,GREENPOINT,C1-WALK-UP,11,2005,16000,236982,14.81,865000,54,1.9,3-02412-0033,355 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1919,19104,371901,19.47,871000,45.6,0.75
3-02264-7504,699-R1,254 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,1931,40294,592321,14.7,2160004,54,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.6,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,0.9
3-02264-7507,878-R1,248 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,28,2001,38600,880080,22.8,3820000,99,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.35,,,,,,,,,,,,
3-02264-7508,939-R1,547 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2001,16637,349377,21,1520000,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.05
3-02264-7509,940-R1,543 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2001,16637,349377,21,1520000,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.05
3-02264-7510,941-R1,551 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2003,16637,349377,21,1520002,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.05
3-02264-7511,942-R1,555 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,0,16648,349608,21,1519998,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.05
3-02264-7512,949-R1,559 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2002,14000,294000,21,1279998,91,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9,3-02412-0033,355 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1919,19104,371901,19.47,871000,45.6,0.7
3-02264-7513,1284-R1,282 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,28,2003,45000,945000,21,4099994,91,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.05,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.9
3-02264-7514,1283-R1,274 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,28,2005,32854,660036,20.09,2870002,87,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9,,,,,,,,,,,,
3-02264-7515,1313-R1,298 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,20,2005,32291,648726,20.09,2819996,87,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9,,,,,,,,,,,,
3-02264-7518,1287-R1,268 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,28,2005,32523,653387,20.09,2840000,87,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9,,,,,,,,,,,,
3-02264-7520,1337-R1,593 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2005,17940,376740,21,1639998,91,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.75,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9
3-02264-7521,1336-R1,290 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,28,2005,38717,777824,20.09,3360000,87,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.9,,,,,,,,,,,,
3-02267-7501,807-R1,111 GERRY STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,25,2001,43571,660100,15.15,2610015,60,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.75,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,1
3-02267-7502,983-R1,59 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,15,2002,21000,350700,16.7,1389989,66,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.4,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,390959,15.15,1120000,43.4,0.75
3-02267-7503,1027-R1,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,26,2000,40232,766419,19.05,3330002,83,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.15,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.1
3-02297-7501,1426-R1,55 BERRY STREET,WILLIAMSBURG-NORTH,R4-ELEVATOR,45,1900,51213,1126686,22,3308316,65,3-02310-0004,84 NORTH 9 STREET,WILLIAMSBURG-NORTH,C1-WALK-UP,42,1910,48980,1278748,26.1,5550000,113,0.15,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.55
3-02298-7501,1935-R1,170 WEST 11 STREET,WILLIAMSBURG-NORTH,R4-ELEVATOR,28,2006,24885,597240,24,2590006,104,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.85,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.3
3-02340-7501,1979-R1,1 NORTH PIER,WILLIAMSBURG-NORTH,R4-ELEVATOR,181,2007,206621,4958904,24,21499963,104,3-00236-0103,52 CLARK STREET,BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2280583,28.7,10900000,137,2.2,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1666625,27.4,7980000,131,2.2
3-02350-7501,1782-R1,85 NORTH 3 STREET,WILLIAMSBURG-NORTH,R4-ELEVATOR,63,1910,106840,2457320,23,10700002,100,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.45,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,1.05
3-02383-7501,934-R1,98 HAVEMEYER STREET,WILLIAMSBURG-NORTH,R2-WALK-UP,24,0,28440,504810,17.75,2000002,70,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.15,3-02310-0004,84 NORTH 9 STREET,WILLIAMSBURG-NORTH,C1-WALK-UP,42,1910,48980,1278748,26.1,5550000,113,0.45
3-02403-7501,861-R1,330 WYTHE AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,74,1914,126785,1813025,14.3,6619999,52,3-01979-0015,475 WASHINGTON AVENUE,CLINTON HILL,D1-ELEVATOR,47,1931,63450,1027993,16.2,4070000,64,2.15,3-01948-0042,83 CLIFTON PLACE,CLINTON HILL,D1-ELEVATOR,40,1939,57937,833508,14.39,3040000,52,1.85
3-02406-7501,1098-R1,299 BEDFORD AVENUE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,32,2003,36768,594538,16.17,2350003,64,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,340909,16.8,798000,39.3,0.55,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,371900,16.17,871000,37.9,0.5
3-02408-7501,1047-R1,236 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,16,2002,17766,355320,20,1540002,87,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.8,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.45
3-02408-7502,1382-R1,241 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,15,0,15000,251250,16.75,993994,66,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,302080,15.55,1200000,62,0.1,3-02409-0008,260 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,298043,18.82,1180000,75,0.1
3-02408-7503,1821-R1,242 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,R2-WALK-UP,23,1911,24306,413931,17.03,2352967,97,3-02409-0003,252 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,23,1920,6000,100200,16.7,397000,66,0.1,3-02424-0009,358 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,27,1920,19000,388485,20.45,909000,47.8,0.3
3-02417-7501,1383-R1,120 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,17,2004,23760,528660,22.25,2300001,97,3-02411-0017,326 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,C7-WALK-UP,35,1913,24066,542640,22.55,2360000,98,0.5,3-02139-0014,190 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1917,25924,491640,18.96,1950000,75,0.3
3-02446-7501,1389-R1,180 SOUTH 4 STREET,WILLIAMSBURG-SOUTH,R2-WALK-UP,11,0,17235,344700,20,1499998,87,3-02434-0006,242 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,C7-WALK-UP,30,1912,19890,417348,20.98,1810000,91,0.15,3-02411-0017,326 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,C7-WALK-UP,35,1913,24066,542640,22.55,2360000,98,0.3
3-02469-7501,1544-R1,24 DUNHAM PLACE,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,0,13881,381033,27.4,1830000,132,3-02413-0028,393 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,21,1915,14059,201086,14.3,753000,54,0.8,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.1
3-02511-7501,1345-R1,61 GREEN STREET,GREENPOINT,R2-WALK-UP,15,2005,27666,487198,17.61,1930000,70,3-02494-0026,233 FRANKLIN STREET,GREENPOINT,C1-WALK-UP,20,1920,27309,575966,21.09,2500000,92,0.1,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,0.3
3-02521-7501,1144-R1,"82 ,84,86,88 GREEN STREET",GREENPOINT,R2-WALK-UP,16,2001,19238,379950,19.75,1649996,86,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,0.35,,,,,,,,,,,,
3-02618-7501,379-R1,86 MESEROLE AVENUE,GREENPOINT,R2-WALK-UP,15,1910,13686,229240,16.75,907000,66,3-02495-0042,1085 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,12,1931,13250,226245,17.08,530000,40,0.7,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,0.7
3-02697-7501,1652-R1,297 DRIGGS AVENUE,GREENPOINT,R4-ELEVATOR,14,2007,9084,201600,22.19,409997,45.1,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.3,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.8
3-02698-7501,1455-R1,49 ENGERT AVENUE,GREENPOINT,R2-WALK-UP,24,2005,30886,651385,21.09,2830002,92,3-02494-0026,233 FRANKLIN STREET,GREENPOINT,C1-WALK-UP,20,1920,27309,575966,21.09,2500000,92,1.05,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,1.05
3-02703-7501,1205-R1,169 ENGERT AVENUE,GREENPOINT,R2-WALK-UP,26,0,23450,425852,18.16,1689999,72,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,241459,8.23,623000,21.23,1.45,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,1.35
3-02713-7502,2103-R1,84 ENGERT AVENUE,GREENPOINT,R4-ELEVATOR,16,0,19916,372429,18.7,1469996,74,3-01162-0010,635 GRAND AVENUE,CROWN HEIGHTS,C1-WALK-UP,11,1931,6924,144528,20.87,628000,91,3.2,3-02014-0035,468 GRAND AVENUE,CLINTON HILL,C1-WALK-UP,16,1930,13900,258242,18.58,1020000,73,2.8
3-02721-7501,1549-R1,610 UNION AVENUE,GREENPOINT,R4-ELEVATOR,22,2004,18146,344774,19,1359999,75,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.65,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.95
3-02721-7502,1757-R1,30 BAYARD STREET,GREENPOINT,R4-ELEVATOR,51,0,46869,1031118,22,4480002,96,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,0.95,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,502650,18.95,1990000,75,0.6
3-02721-7503,1971-R1,20 BAYARD STREET,GREENPOINT,R4-ELEVATOR,62,2005,82265,1339200,16.28,5299992,64,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.65,,,,,,,,,,,,
3-02722-7501,2021-R1,415 LEONARD STREET,GREENPOINT,R4-ELEVATOR,54,2006,51554,1020600,19.8,4429996,86,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.05,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.55
3-02740-7501,2010-R1,447 HUMBOLDT STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,13,2005,13677,229089,16.75,906997,66,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,302080,15.55,1200000,62,0.9,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,378406,15.17,1500000,60,1.15
3-02749-7501,1789-R1,364 MANHATTAN AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,21,2007,25438,381570,15,1390001,55,3-02790-0022,98 BUSHWICK AVENUE,WILLIAMSBURG-EAST,C7-WALK-UP,12,1920,7296,178228,24.43,774000,106,0.4,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.7
3-02752-7502,1801-R1,59 CONSELYEA STREET,WILLIAMSBURG-EAST,R2-WALK-UP,12,2005,5405,162150,30,776999,144,3-03054-0016,210 MESEROLE STREET,WILLIAMSBURG-EAST,C4-WALK-UP,16,1920,10000,171355,17.14,678000,68,0.65,,,,,,,,,,,,
3-02752-7503,1791-R1,63 CONSELYEA STREET,WILLIAMSBURG-EAST,R2-WALK-UP,12,2005,7247,217410,30,1040000,144,3-03054-0016,210 MESEROLE STREET,WILLIAMSBURG-EAST,C4-WALK-UP,16,1920,10000,171355,17.14,678000,68,0.65,,,,,,,,,,,,
3-02782-7501,1880-R1,134 POWERS STREET,WILLIAMSBURG-EAST,R2-WALK-UP,20,2005,25216,592071,23.48,2570006,102,3-03044-0026,171 MESEROLE STREET,WILLIAMSBURG-EAST,C1-WALK-UP,39,1930,17240,386541,22.42,1680000,97,0.25,3-03032-0010,60 STAGG STREET,WILLIAMSBURG-EAST,C1-WALK-UP,26,1950,25000,534000,21.36,2320000,93,0.25
3-02833-7501,1250-R1,99 KINGSLAND AVENUE,GREENPOINT,R2-WALK-UP,24,2005,14248,302770,21.25,1309994,92,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,1.35,,,,,,,,,,,,
3-02857-7501,1274-R1,258 RICHARDSON STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,12,2002,17800,373800,21,1620000,91,3-03063-0017,258 BUSHWICK AVENUE,WILLIAMSBURG-EAST,D7-ELEVATOR,22,1930,27000,492600,18.24,1950000,72,0.8,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,535063,20.09,2320000,87,1.4
3-02866-7501,1944-R1,219 WITHERS STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,12,2006,16627,311756,18.75,1229999,74,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,848025,17.67,3360000,70,0.45,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.35
3-02875-7501,1295-R1,246 WITHERS STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,25,2003,24897,567651,22.8,2459997,99,3-03232-0074,1251 DE KALB AVENUE,BUSHWICK,D1-ELEVATOR,28,2005,21240,484272,22.8,2100000,99,1.6,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.35
3-02893-7501,1550-R1,57 MASPETH AVENUE,WILLIAMSBURG-EAST,R2-WALK-UP,17,2004,22417,472774,21.09,2050000,91,3-03032-0010,60 STAGG STREET,WILLIAMSBURG-EAST,C1-WALK-UP,26,1950,25000,534000,21.36,2320000,93,0.6,3-02494-0026,233 FRANKLIN STREET,GREENPOINT,C1-WALK-UP,20,1920,27309,575966,21.09,2500000,92,1.65
3-03023-7501,1279-R1,63/69 STAGG STREET,WILLIAMSBURG-EAST,R2-WALK-UP,16,2004,25336,538390,21.25,2340001,92,3-02488-0001,1092 MANHATTAN AVENUE,GREENPOINT,C1-WALK-UP,26,1931,19500,476808,24.45,2070000,106,1.9,,,,,,,,,,,,
3-03040-7501,1721-R1,25 MESEROLE STREET,WILLIAMSBURG-EAST,R2-WALK-UP,16,2006,8496,180540,21.25,784002,92,3-03054-0006,190 MESEROLE STREET,WILLIAMSBURG-EAST,C1-WALK-UP,16,1920,11085,347126,31.3,1660000,150,0.45,3-03044-0026,171 MESEROLE STREET,WILLIAMSBURG-EAST,C1-WALK-UP,39,1930,17240,386541,22.42,1680000,97,0.35
3-03076-7501,695-R1,14 BOERUM STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,30,1900,56091,737596,13.15,2690005,48,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1212367,26.9,5810000,129,0.65,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,896436,27.6,4290000,132,0.9
