Citywide Theme,Agency Name,Agency,Indicator Name,Sub-Indicator,Desired Direction,Additive,Reporting Period,Frequency,Reporting Lag Time (Weeks),MMR Indicator,Zero Tolerance,Month,Month Value,YTD Value
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter *,Down,Y,Fiscal Year,Monthly,2,Y,Y,2011 / 05,,484
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter *,Down,Y,Fiscal Year,Monthly,2,Y,Y,2011 / 06,526,526
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 100th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 101st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 102nd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,7
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,10
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,10
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,10
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,12
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,14
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,15
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 103rd Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,15
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 104th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,7
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 105th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,8
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 106th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 107th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 108th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,4
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,6
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,8
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 109th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,9
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 10th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,1
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 10,,2
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 11,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 12,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 01,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 02,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 03,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 04,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 05,,3
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 110th Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2011 / 06,,5
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 111st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 07,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 111st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 08,,0
Public Safety,New York City Police Department,NYPD,Murder and non-negligent manslaughter *,Murder and non-negligent manslaughter - 111st Precinct,Down,Y,Fiscal Year,Monthly,2,N,N,2010 / 09,,0
