NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      ,5,$550000.00,$817000.00,$650000.00,$1250000.00
CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,17,$151117.00,$366942.00,$369000.00,$575000.00
CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,4,$375000.00,$475000.00,$450000.00,$625000.00
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,15,$180000.00,$654454.00,$650000.00,$1250000.00
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,107,$165000.00,$560856.00,$570000.00,$1450000.00
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,48,$250000.00,$646876.00,$707500.00,$1066500.00
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,17,$172380.00,$381877.00,$370000.00,$610000.00
CYPRESS HILLS            ,02 TWO FAMILY HOMES                        ,74,$160000.00,$512838.00,$550000.00,$690000.00
CYPRESS HILLS            ,03 THREE FAMILY HOMES                      ,27,$150000.00,$523126.00,$561000.00,$731000.00
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        ,3,$470000.00,$690000.00,$800000.00,$800000.00
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        ,1,$1375000.00,$1375000.00,$1375000.00,$1375000.00
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        ,2,$830000.00,$1515000.00,$1515000.00,$2200000.00
DOWNTOWN-METROTECH       ,02 TWO FAMILY HOMES                        ,1,$950000.00,$950000.00,$950000.00,$950000.00
DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        ,58,$212000.00,$662608.00,$595000.00,$2100000.00
DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        ,60,$150000.00,$687163.00,$677500.00,$1530000.00
DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      ,12,$687203.00,$910237.00,$857750.00,$1350000.00
