NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,67,$200000.00,$623861.00,$590000.00,$990000.00
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,9,$814600.00,$884218.00,$866000.00,$990000.00
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,105,$357613.00,$894548.00,$745000.00,$3100000.00
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,14,$200000.00,$725500.00,$680000.00,$1775000.00
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,2,$885000.00,$941500.00,$941500.00,$998000.00
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,83,$225000.00,$646229.00,$630000.00,$999999.00
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,17,$380000.00,$677980.00,$700000.00,$993812.00
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,21,$350000.00,$566444.00,$516000.00,$980000.00
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,2,$755000.00,$802500.00,$802500.00,$850000.00
GLENDALE                 ,01 ONE FAMILY HOMES                        ,55,$243080.00,$464335.00,$460000.00,$715000.00
GLENDALE                 ,02 TWO FAMILY HOMES                        ,86,$183000.00,$540274.00,$530000.00,$865512.00
GLENDALE                 ,03 THREE FAMILY HOMES                      ,25,$210000.00,$670074.00,$740000.00,$926607.00
HAMMELS                  ,01 ONE FAMILY HOMES                        ,7,$250000.00,$309957.00,$292792.00,$400000.00
HAMMELS                  ,02 TWO FAMILY HOMES                        ,18,$215000.00,$452949.00,$463250.00,$603504.00
HAMMELS                  ,03 THREE FAMILY HOMES                      ,7,$314340.00,$527740.00,$600000.00,$649478.00
HILLCREST                ,01 ONE FAMILY HOMES                        ,27,$370000.00,$527269.00,$518000.00,$813700.00
HILLCREST                ,02 TWO FAMILY HOMES                        ,2,$372500.00,$401250.00,$401250.00,$430000.00
HOLLIS                   ,01 ONE FAMILY HOMES                        ,161,$200000.00,$408397.00,$405000.00,$795000.00
HOLLIS                   ,02 TWO FAMILY HOMES                        ,90,$155000.00,$456221.00,$432500.00,$720000.00
HOLLIS                   ,03 THREE FAMILY HOMES                      ,9,$560000.00,$700592.00,$755000.00,$794235.00
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,17,$440000.00,$725076.00,$695000.00,$1525000.00
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,37,$461000.00,$746050.00,$732500.00,$1560000.00
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,2,$499000.00,$689500.00,$689500.00,$880000.00
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,71,$165000.00,$562207.00,$572400.00,$1480000.00
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,34,$175000.00,$558633.00,$570000.00,$753382.00
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,2,$525000.00,$637500.00,$637500.00,$750000.00
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,89,$200000.00,$539703.00,$530000.00,$995000.00
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,98,$150000.00,$634882.00,$647073.00,$1100000.00
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,41,$190722.00,$784757.00,$799326.00,$1094618.00
JAMAICA                  ,01 ONE FAMILY HOMES                        ,37,$165000.00,$383695.00,$367000.00,$750000.00
JAMAICA                  ,02 TWO FAMILY HOMES                        ,43,$230000.00,$509552.00,$525000.00,$725000.00
JAMAICA                  ,03 THREE FAMILY HOMES                      ,17,$375000.00,$731747.00,$765000.00,$977520.00
JAMAICA BAY              ,01 ONE FAMILY HOMES                        ,6,$290000.00,$367878.00,$337500.00,$550000.00
JAMAICA BAY              ,02 TWO FAMILY HOMES                        ,1,$606709.00,$606709.00,$606709.00,$606709.00
JAMAICA ESTATES          ,01 ONE FAMILY HOMES                        ,35,$230366.00,$780502.00,$780000.00,$1125000.00
JAMAICA ESTATES          ,02 TWO FAMILY HOMES                        ,1,$800000.00,$800000.00,$800000.00,$800000.00
JAMAICA ESTATES          ,03 THREE FAMILY HOMES                      ,6,$832928.00,$858059.00,$859403.00,$875000.00
JAMAICA HILLS            ,01 ONE FAMILY HOMES                        ,26,$375000.00,$523297.00,$480803.00,$800000.00
JAMAICA HILLS            ,02 TWO FAMILY HOMES                        ,30,$300000.00,$614884.00,$648087.00,$875000.00
JAMAICA HILLS            ,03 THREE FAMILY HOMES                      ,4,$523000.00,$709500.00,$727500.00,$860000.00
KEW GARDENS              ,01 ONE FAMILY HOMES                        ,13,$430000.00,$724568.00,$610000.00,$1380000.00
KEW GARDENS              ,02 TWO FAMILY HOMES                        ,9,$500500.00,$755000.00,$633266.00,$1215000.00
KEW GARDENS              ,03 THREE FAMILY HOMES                      ,2,$450000.00,$477500.00,$477500.00,$505000.00
LAURELTON                ,01 ONE FAMILY HOMES                        ,121,$163000.00,$402037.00,$413744.00,$668330.00
LAURELTON                ,02 TWO FAMILY HOMES                        ,59,$200000.00,$482862.00,$503862.00,$700000.00
LITTLE NECK              ,01 ONE FAMILY HOMES                        ,75,$285000.00,$780915.00,$710000.00,$1934750.00
LITTLE NECK              ,02 TWO FAMILY HOMES                        ,14,$600000.00,$1034753.00,$983500.00,$2200000.00
LONG ISLAND CITY         ,01 ONE FAMILY HOMES                        ,8,$275000.00,$549063.00,$417500.00,$1400000.00
LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,34,$150000.00,$848783.00,$797500.00,$2100000.00
LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,11,$400000.00,$913139.00,$900000.00,$1600000.00
MASPETH                  ,01 ONE FAMILY HOMES                        ,85,$225000.00,$477276.00,$472000.00,$815334.00
MASPETH                  ,02 TWO FAMILY HOMES                        ,98,$189500.00,$580111.00,$567000.00,$905000.00
MASPETH                  ,03 THREE FAMILY HOMES                      ,20,$470000.00,$701628.00,$702500.00,$955000.00
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,101,$160000.00,$516975.00,$517000.00,$920000.00
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,76,$233000.00,$636014.00,$632500.00,$1237500.00
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,24,$186303.00,$714352.00,$762500.00,$1104801.00
NEPONSIT                 ,01 ONE FAMILY HOMES                        ,21,$265000.00,$845157.00,$916500.00,$1500000.00
OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,83,$240000.00,$749568.00,$700000.00,$1486645.00
OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,12,$655000.00,$873490.00,$900000.00,$997885.00
OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,3,$835000.00,$851667.00,$840000.00,$880000.00
OZONE PARK               ,01 ONE FAMILY HOMES                        ,101,$150000.00,$424593.00,$415000.00,$1350000.00
OZONE PARK               ,02 TWO FAMILY HOMES                        ,129,$185000.00,$487823.00,$499550.00,$795000.00
OZONE PARK               ,03 THREE FAMILY HOMES                      ,24,$475000.00,$664768.00,$690000.00,$799530.00
QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,214,$160000.00,$394672.00,$397271.00,$723000.00
QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,92,$176182.00,$502010.00,$526587.00,$710000.00
QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,5,$350000.00,$557000.00,$600000.00,$725000.00
REGO PARK                ,01 ONE FAMILY HOMES                        ,51,$260000.00,$614699.00,$600000.00,$985000.00
REGO PARK                ,02 TWO FAMILY HOMES                        ,18,$475000.00,$835892.00,$903125.00,$1100000.00
REGO PARK                ,03 THREE FAMILY HOMES                      ,4,$679714.00,$780929.00,$722500.00,$999000.00
RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,171,$150000.00,$411830.00,$410000.00,$757500.00
