Gender,2005 Number of Officers,2005 Percent of Subtotal,2005 NYPD Population 2005,2006 Number of Officers,2006 Percent of Subtotal,2006 NYPD Population 2006,2007 Number of Officers,2007 Percent of Subtotal,2007 NYPD Population 2007,2008 Number of Officers,2008 Percent of Subtotal,2008 NYPD Population 2008,2009 Number of Officers,2009 Percent of Subtotal,2009 NYPD Population 2009
Male,341,92.40%,82.80%,313,90.20%,82.60%,269,90.00%,82.50%,204,93.20%,82.50%,240,87.30%,82.50%
Female,28,7.60%,17.20%,34,9.80%,17.40%,30,10.00%,17.50%,15,6.80%,17.50%,35,12.70%,17.50%
Subtotal,369,100.00%,100.00%,347,100.00%,100.00%,299,100.00%,100.00%,219,100.00%,100.00%,275,100.00%,100.00%
Unknown,2,,,0,,,1,,,0,,,1,,
Total,371,,,347,,,300,,,219,,,276,,
