DBN,DISTRICT,SCHOOL,PRINCIPAL,2007-08 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2006-07 PROGRESS REPORT GRADE,2007-08 QUALITY REVIEW SCORE,2006-07 FEDERAL ACCOUNTABILITY STATUS
29Q265,29,EXCELSIOR PREPARATORY HIGH SCHOOL,Derek Jones,ESO,HS,High School,2.34,A,66.9,9.6,A,16.6,A,38.7,A,2,,Well Developed,In Good Standing
29Q268,29,P.S. 268,Lissa Grant-Stewart,ICI,ESMS,K-8,47.47,C,42.5,7.1,C,13.4,B,22,C,0,B,Well Developed,In Good Standing
29Q270,29,P.S. / I.S. Q270,Eleanor S. Andrew,ICI,ESMS,K-8,43.54,B,55.3,10.9,A,18.2,A,24.7,C,1.5,A,Well Developed,In Good Standing
29Q272,29,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,Dr. Janice Sutton,ICI,HS,High School,2.43,A,69.9,11,A,17.2,A,37.7,A,4,B,Proficient,In Good Standing
29Q283,29,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,Michael F. Renna,ESO,ESMS,Middle School,3.33,F,25,4.6,D,11.4,D,9,D,0,,Proficient,In Good Standing
29Q283,29,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,Michael F. Renna,ESO,HS,High School,2.41,,,,,,,,,2,,Proficient,In Good Standing
29Q295,29,P.S./I.S. 295,Angela Thompson,ICI,ESMS,Elementary School,50.99,,,,,,,,,,,,In Good Standing
29Q492,29,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",Andrea Holt,ESO,HS,High School,2.53,B,55,4.6,C,14.6,B,30.8,B,5,C,Well Developed,In Good Standing
29Q494,29,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",Carole Kelly,ICI,HS,High School,2.38,C,42.4,4.1,C,9.4,C,24.9,B,4,C,Proficient,In Good Standing
29Q496,29,"BUSINESS, COMPUTER APPLICATIONS AND ENTREPRENEURSHIP MAGNET HIGH SCHOO",Ray Warmsley,ICI,HS,High School,2.16,C,41.1,5.5,C,12.5,B,23.1,C,0,B,Proficient,Requiring Academic Progress - Year 1
29Q498,29,HUMANITIES & ARTS MAGNET HIGH SCHOOL,Mercedes Qualls,ICI,HS,High School,2.38,B,62.6,9,A,16.1,B,33.5,B,4,B,Proficient,In Good Standing
30Q002,30,P.S. 002 ALFRED ZIMBERG,Joseph Taddeo,ICI,ESMS,Elementary School,39.85,A,64,11.1,A,17.6,A,33,A,2.25,C,Well Developed,In Good Standing
30Q010,30,I.S. 010 HORACE GREELEY,Clemente Lopes,ICI,ESMS,Middle School,3.22,B,62.6,8.9,B,15.5,B,35.9,A,2.25,A,Well Developed,In Need of Improvement - Year 1
30Q011,30,P.S. 011 KATHRYN PHELAN,Anna Efkarpides,ICI,ESMS,Elementary School,39.37,A,65.6,11.2,A,16.7,A,31.7,B,6,A,Well Developed,In Good Standing
30Q017,30,P.S. 017 HENRY DAVID THOREAU,Cynthia Dickman,ICI,ESMS,Elementary School,50.17,B,51.9,9.7,A,11,C,28.9,B,2.25,B,Well Developed,In Good Standing
30Q069,30,P.S. 069 JACKSON HEIGHTS,Martha Vazquez,ICI,ESMS,Elementary School,37.15,B,51.1,8.9,B,17.9,A,22.8,C,1.5,B,Well Developed,In Good Standing
30Q070,30,P.S. 070 QUEENS,Donna Geller,ICI,ESMS,Elementary School,40.24,B,56.9,7.5,B,17.1,A,27.8,B,4.5,B,Well Developed,In Good Standing
30Q076,30,P.S. 076 WILLIAM HALLET,Mary Schafenberg,ICI,ESMS,Elementary School,59.69,B,59.5,8.6,B,15,B,29.9,B,6,A,Underdeveloped with Proficient Features,In Need of Improvement - Year 1
