DBN,DISTRICT,SCHOOL,PRINCIPAL,2007-08 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2006-07 PROGRESS REPORT GRADE,2007-08 QUALITY REVIEW SCORE,2006-07 FEDERAL ACCOUNTABILITY STATUS
01M015,01,P.S. 015 ROBERTO CLEMENTE,Thomas Staebell,ICI,ESMS,Elementary School,63.28,D,31.9,5.8,C,8,C,18.1,C,0,B,Proficient,In Good Standing
01M019,01,P.S. 019 ASHER LEVY,Ivan Kushner,ESO,ESMS,Elementary School,50.39,B,50.8,9,B,11.4,B,30.4,B,0,B,Well Developed,In Good Standing
01M020,01,P.S. 020 ANNA SILVER,Felix Gil,ICI,ESMS,Elementary School,57.37,A,69.7,9.7,A,20,A,37.7,A,2.25,B,Well Developed,In Need of Improvement - Year 2
01M034,01,P.S. 034 FRANKLIN D. ROOSEVELT,Joyce Stallings Harte,ICI,ESMS,K-8,58.96,B,59.8,4.5,D,10.6,C,37.9,A,6.75,C,Well Developed,In Good Standing
01M063,01,P.S. 063 WILLIAM MCKINLEY,Darlene Despeignes,ICI,ESMS,Elementary School,53.00,F,26.5,7.6,B,11.3,C,7.6,F,0,C,Proficient,In Good Standing
01M064,01,P.S. 064 ROBERT SIMON,Sandra Litrico Pappas,ESO,ESMS,Elementary School,60.63,A,79.7,12.1,A,18.9,A,46.4,A,2.25,C,Well Developed,In Good Standing
01M110,01,P.S. 110 FLORENCE NIGHTINGALE,Irene Quvus,ESO,ESMS,Elementary School,42.56,C,41.2,9.4,A,16.9,A,13.4,D,1.5,B,Well Developed,In Good Standing
01M134,01,P.S. 134 HENRIETTA SZOLD,Loretta Caputo,ICI,ESMS,Elementary School,54.03,B,53,5.8,C,14.4,B,31.3,B,1.5,B,Proficient,In Good Standing
01M137,01,P.S. 137 JOHN L. BERNSTEIN,Melissa Rodriguez,ICI,ESMS,Elementary School,61.63,B,55.2,7.8,B,16.1,A,29.8,B,1.5,B,Proficient,In Good Standing
01M140,01,P.S. 140 NATHAN STRAUS,Esteban Barrientos,ESO,ESMS,K-8,62.46,B,64.8,9,B,15.3,B,36,B,4.5,B,Proficient,In Need of Improvement - Year 1
01M142,01,P.S. 142 AMALIA CASTRO,Rhonda Levy,ICI,ESMS,Elementary School,65.14,A,69.8,8.3,B,15.4,B,44.6,A,1.5,C,Well Developed,In Good Standing
01M184,01,P.S. 184M SHUANG WEN,Ling Ling Chou,New Visions,ESMS,K-8,27.10,A,71.2,13.3,A,22.5,A,35.4,B,0,B,Proficient,In Good Standing
01M188,01,P.S. 188 THE ISLAND SCHOOL,Barbara Slatin,ESO,ESMS,K-8,64.92,A,70.8,4.6,C,19.2,A,45.5,A,1.5,A,Well Developed,In Good Standing
01M292,01,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Hoa Tu,ESO,ESMS,Middle School,2.98,C,43.5,3.4,F,14.3,B,25,C,0.75,B,Proficient,In Good Standing
01M292,01,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,Hoa Tu,ESO,HS,High School,2.07,B,55.2,6.2,B,15.4,B,28.6,B,5,,Proficient,In Good Standing
01M301,01,TECHNOLOGY ARTS AND SCIENCES STUDIO,George Morgan,ESO,ESMS,Middle School,3.00,C,48.2,8.1,B,16.3,B,23.8,C,0,B,Underdeveloped with Proficient Features,In Good Standing
01M315,01,THE EAST VILLAGE COMMUNITY SCHOOL,Robin Williams,ESO,ESMS,Elementary School,34.21,B,47,7.9,B,8.3,C,29.3,B,1.5,A,Proficient,In Good Standing
01M332,01,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,Cynthia Kerr,ESO,ESMS,Middle School,2.92,B,58.1,7.5,B,15.2,B,31.6,B,3.75,C,Proficient,In Good Standing
01M345,01,COLLABORATIVE ACADEMY OF SCIENCE TECHNOLOGY & LAW,Mauriciere Degovia,ESO,ESMS,Middle School,3.28,B,62.4,9.3,B,17.4,B,32.7,B,3,,Well Developed,In Good Standing
01M361,01,CHILDREN'S WORKSHOP SCHOOL,Maria Velez Clarke,ICI,ESMS,Elementary School,35.74,B,51.5,9.4,A,11,C,31.1,B,0,B,Proficient,In Good Standing
01M363,01,NEIGHBORHOOD SCHOOL,Judith Foster,ESO,ESMS,Elementary School,33.34,D,32.1,12.2,A,9.6,C,9.5,F,0.75,B,Well Developed,In Good Standing
01M364,01,EARTH SCHOOL,Alison Gail Hazut,ESO,ESMS,Elementary School,34.68,A,62.4,11.9,A,9.8,C,36.9,A,3.75,B,Well Developed,In Good Standing
01M448,01,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,Robert Miller,CLSO,HS,High School,2.26,B,44.3,7.3,B,16.8,A,20.2,C,0,B,Proficient,In Good Standing
01M450,01,EAST SIDE COMMUNITY HIGH SCHOOL,Mark Federman,ESO,ESMS,Middle School,2.99,A,76.5,8.8,B,19.6,A,42.8,A,5.25,A,Well Developed,In Good Standing
01M450,01,EAST SIDE COMMUNITY HIGH SCHOOL,Mark Federman,ESO,HS,High School,2.27,A,68.3,13,A,19.9,A,33.4,B,2,A,Well Developed,In Good Standing
01M509,01,MARTA VALLE SECONDARY SCHOOL,Jayne Godlewski,ICI,ESMS,Middle School,,,,,,,,,,1.5,D,Proficient,Restructuring - Year 4
01M509,01,MARTA VALLE SECONDARY SCHOOL,Jayne Godlewski,ICI,HS,High School,2.08,B,52.6,5.3,C,8.8,C,35.5,A,3,C,Proficient,Restructuring - Year 4
01M515,01,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Martha Polin,ESO,HS,Transfer School,2.65,A,72.5,5.9,B,19.7,A,38.1,A,8.8,A,Well Developed,In Need of Improvement - Year 1
01M539,01,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HIGH SCHOOL,Olga Livanis,ICI,ESMS,K-8,11.77,A,68,7.8,B,24.2,A,36,B,0,B,Proficient,In Good Standing
01M539,01,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",Olga Livanis,ICI,HS,High School,3.51,A,76.1,8.9,B,22.9,A,44.3,A,0,A,Proficient,In Good Standing
01M650,01,CASCADES HIGH SCHOOL,Paul Rotondo,ESO,HS,Transfer School,2.48,A,66.4,11,A,16.9,A,36,A,2.5,B,Well Developed,In Corrective Action
01M696,01,BARD HIGH SCHOOL EARLY COLLEGE,Raymond Peterson,ESO,HS,High School,3.79,B,57.8,10.9,A,15.9,B,31,B,0,B,Proficient,In Good Standing
01M839,01,TOMPKINS SQUARE MIDDLE SCHOOL,Mark Pingitore,ESO,ESMS,Middle School,3.35,A,82.4,13.6,A,20,A,45.8,A,3,A,Well Developed,In Good Standing
02M001,02,P.S. 001 ALFRED E. SMITH,Amy Hom,ICI,ESMS,Elementary School,40.34,B,56.9,6.1,C,17.4,A,33.4,A,0,C,Proficient,In Good Standing
02M002,02,P.S. 002 MEYER LONDON,Brett Gustafson,ICI,ESMS,Elementary School,39.62,A,73,8.2,B,17.1,A,46.2,A,1.5,B,Proficient,In Good Standing
02M003,02,P.S. 003 CHARRETTE SCHOOL,Lisa Siegman,ICI,ESMS,Elementary School,18.64,B,58.9,10.4,A,15,B,32,B,1.5,B,Well Developed,Requiring Academic Progress - Year 1
02M006,02,P.S. 006 LILLIE D. BLAKE,Lauren Fontana,ESO,ESMS,Elementary School,11.78,B,58.4,6.3,C,15.5,B,36.6,A,0,B,Well Developed,In Good Standing
02M011,02,P.S. 011 WILLIAM T. HARRIS,Robert Bender,ICI,ESMS,Elementary School,43.85,B,47.8,11.2,A,14.8,B,21,C,0.75,C,Well Developed,In Good Standing
02M033,02,P.S. 033 CHELSEA PREP,Linore Lindy,ICI,ESMS,Elementary School,51.88,A,86.5,12.6,A,23.1,A,47.8,A,3,F,Well Developed,In Good Standing
02M040,02,P.S. 040 AUGUSTUS SAINT-GAUDENS,Susan Felder,ESO,ESMS,Elementary School,15.39,B,59.3,8.9,B,17.2,A,31.7,B,1.5,A,Well Developed,In Good Standing
02M041,02,P.S. 041 GREENWICH VILLAGE,Kelly Shannon,ICI,ESMS,Elementary School,14.34,A,60.3,12,A,17,A,29.8,B,1.5,B,Well Developed,In Good Standing
02M042,02,P.S. 042 BENJAMIN ALTMAN,Rosa Casiello O'Day,ICI,ESMS,Elementary School,35.80,A,85.6,11.5,A,19.9,A,48.2,A,6,B,Outstanding,In Good Standing
02M047,02,"""47"" THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LANGUAGE HIGH SCHOOL",Martin Florsheim,ESO,ESMS,Middle School,2.80,B,53.7,10.6,A,12.5,C,27.6,B,3,F,Underdeveloped with Proficient Features,In Good Standing
02M047,02,THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LANGUAGE HIGH SCHOOL,Martin Florsheim,ESO,HS,High School,1.62,B,55.8,10.4,A,6.2,D,37.2,A,2,F,Underdeveloped with Proficient Features,In Good Standing
02M051,02,P.S. 051 ELIAS HOWE,Nancy Sing Bock,ICI,ESMS,Elementary School,48.57,A,66.2,12.4,A,19,A,34.8,A,0,B,Well Developed,In Good Standing
02M059,02,P.S. 059 BEEKMAN HILL INTERNATIONAL,Adele Schroeter,ICI,ESMS,Elementary School,19.80,C,33.3,9,B,13.7,B,10.6,D,0,B,Well Developed,In Good Standing
02M077,02,P.S. 77 LOWER LAB SCHOOL,Renay Sadis,ESO,ESMS,Elementary School,11.74,A,69.5,7.8,B,21.8,A,39.9,A,0,A,Well Developed,In Good Standing
02M089,02,P.S. 89,Veronica Najjar,ESO,ESMS,Elementary School,14.10,B,57,8.5,B,14.7,B,31.5,B,2.25,C,Proficient,In Good Standing
02M104,02,J.H.S. 104 SIMON BARUCH,Rosemarie Gaetani,ESO,ESMS,Middle School,3.51,B,53.4,7.4,B,14.9,B,28.8,B,2.25,B,Proficient,In Good Standing
02M111,02,P.S. 111 ADOLPH S. OCHS,Irma Medina,ICI,ESMS,K-8,53.64,B,60.5,7.2,C,14.3,B,36.7,A,2.25,A,Proficient,In Good Standing
02M114,02,EAST SIDE MIDDLE SCHOOL,David Getz,ESO,ESMS,Middle School,3.87,B,65.7,11.3,A,21.9,A,32.5,B,0,A,Well Developed,In Good Standing
02M116,02,P.S. 116 MARY LINDLEY MURRAY,Jane Hsu,ICI,ESMS,Elementary School,19.64,C,39.3,8.1,B,18.8,A,12.4,D,0,A,Well Developed,In Good Standing
02M124,02,P.S. 124 YUNG WING,Alice Hom,ICI,ESMS,Elementary School,25.73,A,64.8,10.8,A,19.7,A,34.3,A,0,A,Well Developed,In Good Standing
02M126,02,P.S. 126 JACOB AUGUST RIIS,Kerry Decker,ICI,ESMS,K-8,42.92,A,76.4,8.4,B,17.8,A,42.7,A,7.5,C,Well Developed,In Good Standing
02M130,02,P.S. 130 HERNANDO DE SOTO,Lily Woo,ESO,ESMS,Elementary School,26.84,A,81.1,13.2,A,18.9,A,46.7,A,2.25,A,Outstanding,In Good Standing
02M131,02,M.S. 131,Phyllis Tam,ESO,ESMS,Middle School,3.33,A,66,9.1,B,12.7,C,38.9,A,5.25,B,Well Developed,Restructuring - Year 3
02M150,02,P.S. 150,Maggie Siena,ESO,ESMS,Elementary School,14.72,A,88.8,11.8,A,20.4,A,56.6,A,0,C,Proficient,In Good Standing
02M158,02,P.S. 158 BAYARD TAYLOR,Darryl Alhadeff,ICI,ESMS,Elementary School,20.79,B,56,5.4,C,20.1,A,30.5,B,0,B,Well Developed,In Good Standing
02M167,02,J.H.S. 167 ROBERT F. WAGNER,Jennifer Rehn,ESO,ESMS,Middle School,3.54,B,64.5,7.3,B,16,B,36.7,A,4.5,C,Well Developed,In Good Standing
02M183,02,P.S. 183 ROBERT L. STEVENSON,Mary Anne Sacco,ESO,ESMS,Elementary School,17.54,A,70.9,10.2,A,14.2,B,44.2,A,2.25,A,Proficient,In Good Standing
02M198,02,P.S. 198 ISADOR E. IDA STRAUS,Sharon Jeffrey Roebuck,ICI,ESMS,Elementary School,45.61,B,51.5,4.6,D,12.2,B,33.9,A,0.75,C,Well Developed,In Good Standing
02M212,02,P.S. 212 MIDTOWN WEST,Dean Ketchum,ICI,ESMS,Elementary School,25.37,A,82.9,12.9,A,15,B,51.2,A,3.75,A,Well Developed,In Good Standing
02M217,02,P.S./I.S. 217 ROOSEVELT ISLAND,Mandana Beckman,ESO,ESMS,K-8,35.50,C,47.4,8.1,B,12.5,C,22.3,C,4.5,B,Well Developed,In Good Standing
02M225,02,ELLA BAKER SCHOOL,Laura Garcia,ESO,ESMS,K-8,42.92,C,46.5,11,A,9,D,23.5,C,3,B,Well Developed,In Good Standing
02M234,02,P.S. 234 INDEPENDENCE SCHOOL,Lisa Ripperger,ICI,ESMS,Elementary School,10.27,A,64.7,8.6,B,18.6,A,35.2,A,2.25,B,Proficient,In Good Standing
02M255,02,M.S. 255 SALK SCHOOL OF SCIENCE,Rhonda Perry,ESO,ESMS,Middle School,3.86,B,65.4,11.2,A,21,A,33.2,B,0,C,Well Developed,In Good Standing
02M260,02,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,Jeanne Marie Fraino,ESO,ESMS,Middle School,3.54,A,79.2,11.3,A,24.6,A,41,A,2.25,A,Proficient,In Good Standing
02M288,02,FOOD AND FINANCE HIGH SCHOOL,Roger Turgeon,ESO,HS,High School,2.31,A,82.7,8.6,B,15.7,B,48.4,A,10,,Proficient,In Good Standing
02M289,02,I.S. 289,Ellen Foote,ESO,ESMS,Middle School,3.69,A,66.1,10.2,A,17.9,A,35.7,A,2.25,D,Well Developed,In Good Standing
02M290,02,P.S. 290 MANHATTAN NEW SCHOOL,Sharon Hill,ICI,ESMS,Elementary School,12.96,A,78.9,12,A,18.4,A,47,A,1.5,A,Well Developed,In Good Standing
02M294,02,ESSEX STREET ACADEMY,Alex Shub,ESO,HS,High School,2.30,A,86.5,13.4,A,21.4,A,42.7,A,9,,Well Developed,In Good Standing
02M296,02,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,Matthew Corallo,ESO,HS,High School,2.39,A,73.3,7.2,B,18.3,A,42.8,A,5,,,In Good Standing
02M298,02,PACE HIGH SCHOOL,Yvette Sy,ESO,HS,High School,2.82,A,81,11.5,A,18.5,A,43,A,8,,Well Developed,In Good Standing
02M300,02,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",Lawrence Pendergast,ESO,HS,High School,2.51,B,53.3,8.1,B,14.2,B,29,B,2,,Proficient,In Good Standing
02M303,02,"FACING HISTORY SCHOOL, THE",Gillian Smith,ESO,HS,High School,2.00,,,,,,,,,3,,Well Developed,In Good Standing
02M305,02,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",Joaquin Tamayo,ESO,HS,High School,2.46,,,,,,,,,2,,Proficient,In Good Standing
02M308,02,LOWER MANHATTAN ARTS ACADEMY,John Wenk,ESO,HS,High School,2.09,,,,,,,,,8,,Well Developed,In Good Standing
02M312,02,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,Gary Eisinger,ESO,ESMS,Middle School,3.99,A,70.4,8.6,B,21.7,A,37.1,A,3,A,Proficient,In Good Standing
02M313,02,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONARY LEARNING,Elijah Hawkes,ESO,HS,Transfer School,2.34,,,,,,,,,1.3,,Well Developed,In Good Standing
02M316,02,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",Patricia Minaya,ESO,HS,High School,2.28,,,,,,,,,2,,Proficient,In Good Standing
02M347,02,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,Rebecca Marshall,ESO,ESMS,Elementary School,63.68,D,29.4,5.4,C,5.6,D,18.4,C,0,C,Well Developed,In Good Standing
02M400,02,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,Shirley H. Matthews,ICI,HS,High School,2.68,B,59.4,7.5,B,16,B,33.9,B,2,B,Well Developed,In Good Standing
02M407,02,INSTITUTE FOR COLLABORATIVE EDUCATION,John Pettinato,ESO,ESMS,Middle School,3.61,C,42,13.3,A,10.1,D,18.6,C,0,B,Well Developed,Requiring Academic Progress - Year 5
02M407,02,INSTITUTE FOR COLLABORATIVE EDUCATION,John Pettinato,ESO,HS,High School,2.73,A,69,13.7,A,8.7,C,46.6,A,0,B,Well Developed,Requiring Academic Progress - Year 5
02M408,02,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Keith Ryan,CLSO,ESMS,Middle School,3.82,A,75.5,9,B,17.8,A,48.7,A,0,B,Proficient,In Good Standing
02M408,02,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Keith Ryan,CLSO,HS,High School,3.13,A,68.4,10.5,A,19.1,A,38.8,A,0,B,Proficient,In Good Standing
02M409,02,COALITION SCHOOL FOR SOCIAL CHANGE,Eileen Miller Cohen,CLSO,HS,High School,2.05,C,39.3,3.7,C,9,C,26.6,B,0,C,Proficient,In Corrective Action
02M411,02,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Alicia Perez Katz,ESO,HS,High School,3.47,A,82.6,12.5,A,21,A,49.1,A,0,A,Well Developed,In Good Standing
02M412,02,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,Brooke Jackson,ESO,HS,High School,3.31,A,77.2,7.8,B,24.1,A,43.3,A,2,A,Proficient,In Good Standing
02M413,02,SCHOOL OF THE FUTURE HIGH SCHOOL,Stacy Paige Goldstein,CLSO,ESMS,Middle School,3.54,B,61.4,9.9,A,17.5,B,31.7,B,2.25,B,Well Developed,In Good Standing
02M413,02,SCHOOL OF THE FUTURE HIGH SCHOOL,Stacy Paige Goldstein,CLSO,HS,High School,2.75,A,81.5,10.8,A,21.2,A,45.5,A,4,B,Well Developed,In Good Standing
02M414,02,N.Y.C. MUSEUM SCHOOL,Darlene Miller,ICI,HS,High School,2.79,A,74.7,4.5,C,18.8,A,45.4,A,6,A,Proficient,In Good Standing
02M416,02,ELEANOR ROOSEVELT HIGH SCHOOL,Susan Elliott,ESO,HS,High School,3.51,A,79.1,11.5,A,20.4,A,47.2,A,0,A,Proficient,In Good Standing
02M418,02,MILLENNIUM HIGH SCHOOL,Robert Rhodes,New Visions,HS,High School,3.19,A,77.1,12.3,A,17.8,A,45,A,2,B,Well Developed,In Good Standing
02M419,02,LANDMARK HIGH SCHOOL,Trevor Naidoo,ESO,HS,High School,2.08,B,56.5,8,B,11.5,B,33,B,4,A,Well Developed,In Need of Improvement - Year 2
02M420,02,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,Marta Jimenez,CLSO,HS,High School,2.86,B,50.7,5.7,B,12.8,B,27.2,B,5,C,Well Developed,In Good Standing
02M425,02,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Frank Brancato,ESO,HS,High School,2.33,C,39.1,6.4,B,11.6,B,21.1,C,0,F,Proficient,In Good Standing
02M429,02,LEGACY SCHOOL FOR INTEGRATED STUDIES,Gregory Rodrigues,ICI,HS,High School,1.96,C,42.5,8.6,B,5.5,F,27.4,B,1,F,Proficient,Planning for Restructuring
02M439,02,MANHATTAN VILLAGE ACADEMY,Hector Geager,CLSO,HS,High School,2.85,A,87.2,11.5,A,15.9,B,53.8,A,6,A,Well Developed,In Good Standing
02M440,02,BAYARD RUSTIN EDUCATIONAL COMPLEX,John Angelet,ESO,HS,High School,2.10,F,28.5,1.8,F,8.1,C,16.6,F,2,,Proficient,In Corrective Action
02M442,02,BALLET TECH NYC PUBLIC SCHOOL FOR DANCE,John Treadwell,CLSO,ESMS,K-8,33.42,B,62.7,10.3,B,19.6,A,32.8,B,0,A,Well Developed,In Good Standing
02M449,02,VANGUARD HIGH SCHOOL,Louis Delgado,ESO,HS,High School,2.03,A,64.2,12.5,A,11.7,B,34,B,6,B,Well Developed,In Good Standing
02M459,02,MANHATTAN INTERNATIONAL HIGH SCHOOL,Alan Krull,ESO,HS,High School,2.53,B,59.1,11,A,10.6,B,32.5,B,5,B,Proficient,In Good Standing
02M460,02,WASHINGTON IRVING HIGH SCHOOL,Denise Dicarlo,ESO,HS,High School,2.05,F,26,1.5,F,6.4,D,18.1,D,0,F,Proficient,Restructuring - Year 1
02M475,02,STUYVESANT HIGH SCHOOL,Stanley Teitel,ICI,HS,High School,4.05,A,68.9,9.1,A,21.8,A,38,A,0,A,Well Developed,In Good Standing
02M489,02,HIGH SCHOOL OF ECONOMICS AND FINANCE,Michael Frank Stanzione,CLSO,HS,High School,2.73,B,51.3,5.6,B,15.2,B,29.5,B,1,B,Well Developed,In Good Standing
02M500,02,UNITY CENTER FOR URBAN TECHNOLOGIES,Fausto De La Rosa,CLSO,HS,High School,1.85,B,48.6,7.2,B,10.9,B,29.5,B,1,C,Underdeveloped with Proficient Features,In Good Standing
02M519,02,TALENT UNLIMITED HIGH SCHOOL,Deena Forman,ESO,HS,High School,3.08,A,71.6,9.2,A,17.8,A,41.6,A,3,B,Well Developed,In Good Standing
02M520,02,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,Barbara Esmilla,CLSO,HS,High School,2.40,C,38.5,4.7,C,12.9,B,17.9,D,3,C,Proficient,Planning for Restructuring
02M529,02,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Edward Demeo,CLSO,HS,High School,2.42,B,51,5.6,B,15.1,B,27.3,B,3,C,Proficient,In Good Standing
02M531,02,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,Michael Mehmet Jr.,ESO,HS,High School,2.55,A,65.2,10.3,A,14.3,B,37.6,A,3,B,Well Developed,In Good Standing
02M542,02,MANHATTAN BRIDGES HIGH SCHOOL,Mirza Sanchez Medina,New Visions,HS,High School,2.06,A,97.8,12.4,A,25,A,51.4,A,9,A,Well Developed,In Good Standing
02M543,02,NEW DESIGN HIGH SCHOOL,Scott Conti,ESO,HS,High School,2.22,A,70.8,10.2,A,17.8,A,35.8,A,7,B,Proficient,In Good Standing
02M544,02,INDEPENDENCE HIGH SCHOOL,Ron Smolkin,ESO,HS,Transfer School,2.34,A,61.7,15,A,12.9,B,26.3,B,7.5,C,Proficient,In Good Standing
02M545,02,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,Li Yan,ESO,HS,High School,3.12,A,70.9,10.2,A,23.1,A,35.6,A,2,A,Well Developed,In Good Standing
02M550,02,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Melodee Khristan,ESO,HS,Transfer School,2.08,A,66.8,7.2,B,13.8,B,40.8,A,5,B,Proficient,In Need of Improvement - Year 1
02M560,02,HIGH SCHOOL M560 - CITY AS SCHOOL,Antoniette Scarpinato,ESO,HS,Transfer School,2.57,B,54,5.6,C,13,B,29.1,B,6.3,A,Well Developed,Requiring Academic Progress - Year 2
02M565,02,URBAN ACADEMY LABORATORY HIGH SCHOOL,Herb Mack,ESO,HS,Transfer School,2.88,A,65.2,15,A,23.6,A,25.3,B,1.3,A,Outstanding,Requiring Academic Progress - Year 1
02M570,02,SATELLITE ACADEMY HIGH SCHOOL,Steven Zbaida,ESO,HS,Transfer School,2.31,B,51.2,12,A,12.5,B,20.4,C,6.3,B,Well Developed,Restructuring - Year 1
02M575,02,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Howard A. Friedman,ESO,HS,Transfer School,2.41,A,75.2,9.8,A,14.1,B,40,A,11.3,B,Well Developed,In Corrective Action
02M580,02,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,Isabel Dimola,CLSO,HS,High School,2.23,B,49.6,8.8,B,13.2,B,26.6,B,1,B,Proficient,In Good Standing
02M586,02,HARVEY MILK HIGH SCHOOL,Alan Nolan,ESO,HS,Transfer School,2.15,B,52,1.3,F,21.1,A,29.6,B,0,B,Proficient,In Good Standing
02M600,02,"HIGH SCHOOL OF FASHION INDUSTRIES, THE",Hilda Nieto,ICI,HS,High School,2.69,A,83.2,7.8,B,16.9,A,45.5,A,13,A,Well Developed,In Good Standing
02M605,02,HUMANITIES PREPARATORY ACADEMY,Barnaby Spring,ESO,HS,Transfer School,2.54,A,60.8,5.3,C,17.8,A,35.2,A,2.5,A,Well Developed,In Good Standing
02M615,02,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Timothy Timberlake,ESO,HS,High School,2.13,F,27.8,3.9,C,7.8,C,16.1,F,0,F,Underdeveloped with Proficient Features,Planning for Restructuring
02M620,02,NORMAN THOMAS HIGH SCHOOL,Steven Satin,CLSO,HS,High School,2.11,D,29.7,4.4,C,7.2,C,18.1,D,0,D,Proficient,Restructuring - Year 1
02M625,02,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,Jerod Resnick,ICI,HS,High School,1.96,C,36.3,5.9,B,5.8,F,23.6,C,1,C,Proficient,In Corrective Action
02M630,02,ART AND DESIGN HIGH SCHOOL,Scott M. Feltzin,ICI,HS,High School,2.67,B,54,5.4,C,12.7,B,29.9,B,6,B,Well Developed,In Good Standing
02M655,02,LIFE SCIENCES SECONDARY SCHOOL,Genevieve Stanislaus,ICI,ESMS,Middle School,3.33,C,46.2,4.8,D,11.2,D,30.2,B,0,D,Well Developed,In Good Standing
02M655,02,LIFE SCIENCES SECONDARY SCHOOL,Genevieve Stanislaus,ICI,HS,High School,2.37,B,57.6,4.7,C,20.2,A,30.7,B,2,B,Well Developed,In Good Standing
02M690,02,SCHOOL FOR THE PHYSICAL CITY HIGH SCHOOL,Junior Miller,ICI,HS,High School,,,,,,,,,,0,,,In Good Standing
02M896,02,GREENWICH VILLAGE,Kelly Mcguire,ESO,ESMS,Middle School,3.20,B,62.9,10.9,A,15.3,B,31.4,B,5.25,A,Proficient,In Good Standing
03M009,03,P.S. 009 SARAH ANDERSON,Diane Brady,ESO,ESMS,Elementary School,22.71,B,54.8,10.2,A,20.2,A,23.6,B,0.75,A,Outstanding,In Good Standing
03M044,03,J.H.S. M044 WILLIAM J. O'SHEA,Liza Ortiz,LLSO,ESMS,Middle School,2.82,D,37.4,5.2,C,12,D,18.7,C,1.5,B,Proficient,Restructuring - Year 3
03M054,03,J.H.S. 054 BOOKER T. WASHINGTON,Elana Elster,ESO,ESMS,Middle School,3.58,C,45.7,7,B,15.1,B,22.1,C,1.5,A,Well Developed,Requiring Academic Progress - Year 4
03M075,03,P.S. 075 EMILY DICKINSON,Robert O'Brien,ESO,ESMS,Elementary School,44.53,B,50.8,4.4,D,12.5,B,31.6,B,2.25,B,Proficient,In Good Standing
03M076,03,P.S. 076 A. PHILIP RANDOLPH,Charles Deberry,CLSO,ESMS,Elementary School,60.24,B,51.4,6.7,B,8.7,C,33,A,3,C,Proficient,In Good Standing
03M084,03,P.S. 084 LILLIAN WEBER,Robin Sundick,ESO,ESMS,Elementary School,54.83,B,47.4,5.7,C,13.4,B,25.3,B,3,C,Proficient,In Good Standing
03M087,03,P.S. 087 WILLIAM SHERMAN,Jacqui Getz,ESO,ESMS,Elementary School,20.55,B,50.3,7.3,B,16,A,27,B,0,B,Proficient,In Good Standing
03M145,03,P.S. 145 THE BLOOMINGDALE SCHOOL,Ivelisse Alvarez,CLSO,ESMS,Elementary School,59.48,B,47.2,6.2,C,12.4,B,27.1,B,1.5,B,Well Developed,In Need of Improvement - Year 1
03M149,03,P.S. 149 SOJOURNER TRUTH,Shaniquia L. Singletary,ESO,ESMS,K-8,59.50,C,48.2,7.2,C,8.2,D,31.3,B,1.5,C,Well Developed,In Need of Improvement - Year 1
