BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-01107-0009,"41 PROSPECT PARK
Brooklyn, NY
(40.700744744271645, -73.98923471808627)",WINDSOR TERRACE,C6-WALK-UP,20,1920,17324,344355,19.88,1290000,74,3-00396-0053,"311 BALTIC STREET
Brooklyn, NY
(40.68504638083661, -73.99225927747258)",BOERUM HILL,C1-WALK-UP,20,1900,17640,398277,22.58,1650000,94,2.05,3-03044-0029,"165 MESEROLE STREET
Brooklyn, NY
(40.70816905731563, -73.94254129452746)",WILLIAMSBURG-EAST,C1-WALK-UP,39,1930,17460,387334,22.18,1600000,92,3.85
3-01107-0033,"75 PROSPECT PARK
Brooklyn, NY
(40.70068284398873, -73.98762621668624)",WINDSOR TERRACE,D4-ELEVATOR,52,1936,43160,732615,16.97,2740000,63,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,983249,21.19,4070000,88,2.55,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,789567,17.93,2950000,67,2.05
3-01152-0060,"307 PROSPECT PLACE
Brooklyn, NY
(40.677165039050976, -73.96635535237655)",PROSPECT HEIGHTS,C6-WALK-UP,16,1931,7192,138331,19.23,517000,72,3-00306-0024,"286 CLINTON STREET
Brooklyn, NY
(40.68716138447294, -73.99588272104316)",COBBLE HILL,C1-WALK-UP,11,1900,7000,131560,18.79,492000,70,1.7,3-01131-0003,"41 UNDERHILL AVENUE
Brooklyn, NY
(40.67968094347917, -73.96499211713518)",PROSPECT HEIGHTS,C1-WALK-UP,12,1931,7237,162517,22.46,673000,93,0.2
3-01152-0062,"305 PROSPECT PLACE
Brooklyn, NY
(40.67717771945289, -73.9664170252404)",PROSPECT HEIGHTS,C6-WALK-UP,16,1931,7192,138331,19.23,517000,72,3-00306-0024,"286 CLINTON STREET
Brooklyn, NY
(40.68716138447294, -73.99588272104316)",COBBLE HILL,C1-WALK-UP,11,1900,7000,131560,18.79,492000,70,1.7,3-01131-0003,"41 UNDERHILL AVENUE
Brooklyn, NY
(40.67968094347917, -73.96499211713518)",PROSPECT HEIGHTS,C1-WALK-UP,12,1931,7237,162517,22.46,673000,93,0.2
3-01152-0071,"285 PROSPECT PLACE
Brooklyn, NY
(40.67730452387644, -73.96703375584583)",PROSPECT HEIGHTS,C6-WALK-UP,23,1931,19564,394353,20.16,1470000,75,3-02488-0001,"1092 MANHATTAN AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GREENPOINT,C1-WALK-UP,26,1931,19500,523557,26.8,2170000,111,4.1,3-02424-0009,"358 2 STREET
Brooklyn, NY
(40.673535899018106, -73.98313020989421)",WILLIAMSBURG-SOUTH,C1-WALK-UP,27,1920,19000,421956,22.21,895000,47.1,2.3
3-01155-0054,"698 CLASSON AVENUE
Brooklyn, NY
(40.67616951767857, -73.95964016925201)",CROWN HEIGHTS,C6-WALK-UP,20,1920,32112,426672,13.29,1010000,31.5,3-00733-0038,"874 43 STREET
Brooklyn, NY
(40.64402633815674, -73.99800153202919)",BOROUGH PARK,C1-WALK-UP,44,1926,30556,497015,16.27,1680000,55,3,3-01178-0087,"487 LINCOLN PLACE
Brooklyn, NY
(40.672080286310006, -73.96013186708203)",CROWN HEIGHTS,C1-WALK-UP,31,1920,26952,505707,18.76,1890000,70,0.3
3-01155-0088,"425 PROSPECT PLACE
Brooklyn, NY
(40.67629495711882, -73.96216863047994)",CROWN HEIGHTS,D4-ELEVATOR,58,1924,54315,979588,18.04,3660000,67,3-01091-0040,"136 PROSPECT PARK
Brooklyn, NY
(40.7005708318806, -73.98538827418518)",PARK SLOPE,D1-ELEVATOR,18,1931,20562,453152,22.04,1880000,91,1.15,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,623465,17.02,2330000,64,0.9
3-01158-0056,"233 PARK PLACE
Brooklyn, NY
(40.676998004513266, -73.97011204570931)",PROSPECT HEIGHTS,C6-WALK-UP,16,1931,12986,172211,13.26,536000,41.3,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.25,3-00817-0003,"5313 6 AVENUE
Brooklyn, NY
(40.64200161817941, -74.00991313101876)",SUNSET PARK,C1-WALK-UP,16,1911,13280,286251,21.56,1190000,90,3.25
3-01158-0058,"231 PARK PLACE
Brooklyn, NY
(40.677011314450866, -73.97017571757297)",PROSPECT HEIGHTS,C6-WALK-UP,16,1982,12986,222497,17.13,832000,64,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.25,3-00817-0003,"5313 6 AVENUE
Brooklyn, NY
(40.64200161817941, -74.00991313101876)",SUNSET PARK,C1-WALK-UP,16,1911,13280,286251,21.56,1190000,90,3.25
3-01158-0061,"225 PARK PLACE
Brooklyn, NY
(40.67705124435912, -73.97036673362057)",PROSPECT HEIGHTS,D4-ELEVATOR,60,1940,60450,1026102,16.97,3840000,64,3-06681-0449,"1860 OCEAN PARKWAY
Brooklyn, NY
(40.6033751666498, -73.96684105245723)",OCEAN PARKWAY-SOUTH,D1-ELEVATOR,48,1934,60000,564795,9.41,1340000,22.33,5.1,3-01861-0020,"1320 FULTON STREET
Brooklyn, NY
(40.68027901360724, -73.94794391631194)",BEDFORD STUYVESANT,D9-ELEVATOR,65,1985,57876,934415,16.15,3160000,55,1.2
3-01158-0069,"205 PARK PLACE
Brooklyn, NY
(40.677184344021484, -73.97100345362702)",PROSPECT HEIGHTS,C6-WALK-UP,16,1931,12572,256380,20.39,958000,76,3-01066-0014,"888 UNION STREET
Brooklyn, NY
(40.67325115217392, -73.97243430795005)",PARK SLOPE,C1-WALK-UP,16,1920,12612,332761,26.4,1380000,109,0.35,3-01093-0001,"911 8 AVENUE
Brooklyn, NY
(40.66565568203891, -73.97926541655079)",PARK SLOPE,C1-WALK-UP,16,1920,12160,267836,22.03,1110000,91,0.95
3-01164-0042,"230 PARK PLACE
Brooklyn, NY
(40.67697611279981, -73.97027936096632)",PROSPECT HEIGHTS,D4-ELEVATOR,82,1937,114500,1563818,13.66,4870000,42.5,3-01164-0064,"215 STERLING PLACE
Brooklyn, NY
(40.67616134724687, -73.97066760529106)",PROSPECT HEIGHTS,D1-ELEVATOR,82,1937,92902,1439718,15.5,4870000,52,0,3-01185-0021,"284 EASTERN PARKWAY
Brooklyn, NY
(40.670703181964946, -73.95943847776338)",CROWN HEIGHTS,D1-ELEVATOR,72,1922,76680,1083567,14.13,3370000,43.9,0.7
3-01164-0051,"250 PARK PLACE
Brooklyn, NY
(40.67684011968313, -73.96962879930001)",PROSPECT HEIGHTS,C6-WALK-UP,16,1915,16160,289907,17.94,1080000,67,3-00975-0017,"390 2 STREET
Brooklyn, NY
(40.672989449654544, -73.98200742688056)",PARK SLOPE,C1-WALK-UP,16,1920,16752,371499,22.18,1540000,92,0.65,3-00312-0038,"251 KANE STREET
Brooklyn, NY
(40.685718503008644, -73.99513475265829)",COBBLE HILL,C1-WALK-UP,12,1910,11000,216299,19.66,809000,74,1.45
3-01164-0054,"254 PARK PLACE
Brooklyn, NY
(40.67681292102161, -73.96949868678409)",PROSPECT HEIGHTS,C6-WALK-UP,14,1915,15434,276883,17.94,1040000,67,3-00975-0017,"390 2 STREET
Brooklyn, NY
(40.672989449654544, -73.98200742688056)",PARK SLOPE,C1-WALK-UP,16,1920,16752,371499,22.18,1540000,92,0.65,3-00312-0038,"251 KANE STREET
Brooklyn, NY
(40.685718503008644, -73.99513475265829)",COBBLE HILL,C1-WALK-UP,12,1910,11000,216299,19.66,809000,74,1.45
3-01165-0001,"689 VANDERBILT AVENUE
Brooklyn, NY
(40.67618702573419, -73.96936421803676)",PROSPECT HEIGHTS,D4-ELEVATOR,21,1900,41000,591123,14.42,2000000,48.8,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,599874,15.28,2030000,52,0.65,3-01380-0014,"1540 STERLING PLACE
Brooklyn, NY
(40.6712688405792, -73.92766101989395)",CROWN HEIGHTS,D1-ELEVATOR,34,1923,25840,348597,13.49,1090000,42.2,2.2
3-01165-0011,"675 VANDERBILT AVENUE
Brooklyn, NY
(40.67667522267917, -73.96919655443949)",PROSPECT HEIGHTS,C6-WALK-UP,16,1910,8952,184055,20.56,762000,85,3-01162-0010,"635 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,6924,160881,23.24,666000,96,0.35,3-01162-0011,"633 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,7280,162270,22.29,672000,92,0.35
3-01165-0012,"673 VANDERBILT AVENUE
Brooklyn, NY
(40.676744965099886, -73.96917260249703)",PROSPECT HEIGHTS,C6-WALK-UP,14,1910,9340,192032,20.56,795000,85,3-01162-0010,"635 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,6924,160881,23.24,666000,96,0.35,3-01162-0011,"633 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,7280,162270,22.29,672000,92,0.35
3-01166-0001,"361 STERLING PLACE
Brooklyn, NY
(40.67518292832683, -73.96601137838242)",PROSPECT HEIGHTS,C6-WALK-UP,15,1930,8736,139020,15.91,470000,54,3-01984-0011,"51 IRVING PLACE
Brooklyn, NY
(40.68351977611651, -73.95986894417466)",CLINTON HILL,C1-WALK-UP,14,1930,9180,181412,19.76,678000,74,0.65,3-05030-0016,"300 LINCOLN ROAD
Brooklyn, NY
(40.66142016117854, -73.95277297139901)",FLATBUSH-LEFFERTS GARDEN,C1-WALK-UP,12,1931,6075,73687,12.13,207000,34.1,1.2
3-01169-0001,"10 PLAZA ST
Brooklyn, NY
(40.67487249473818, -73.97124297962688)",PROSPECT HEIGHTS,D4-ELEVATOR,144,1959,163000,2226017,13.66,6930000,42.5,3-01164-0064,"215 STERLING PLACE
Brooklyn, NY
(40.67616134724687, -73.97066760529106)",PROSPECT HEIGHTS,D1-ELEVATOR,82,1937,92902,1439718,15.5,4870000,52,0.05,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,1.85
3-01169-0024,"20 PLAZA ST
Brooklyn, NY
(40.67448549816662, -73.97141474687113)",PROSPECT HEIGHTS,D4-ELEVATOR,105,1940,140595,2122580,15.1,7180000,51,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,1.85,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1959512,17.2,7330000,64,0.85
3-01170-0001,"50 PLAZA ST
Brooklyn, NY
(40.673702710819335, -73.97143910526512)",PROSPECT HEIGHTS,D4-ELEVATOR,50,1925,84530,1275140,15.09,4310000,51,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,2,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1959512,17.2,7330000,64,0.85
3-01170-0009,"34 PLAZA ST
Brooklyn, NY
(40.674122260316246, -73.97144654162025)",PROSPECT HEIGHTS,D4-ELEVATOR,119,1956,120000,1811655,15.1,6130000,51,3-01164-0064,"215 STERLING PLACE
Brooklyn, NY
(40.67616134724687, -73.97066760529106)",PROSPECT HEIGHTS,D1-ELEVATOR,82,1937,92902,1439718,15.5,4870000,52,0.15,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1959512,17.2,7330000,64,0.85
3-01170-0029,"296 STERLING PLACE
Brooklyn, NY
(40.675592091779905, -73.96824544049893)",PROSPECT HEIGHTS,D4-ELEVATOR,19,1910,29724,471751,15.87,1600000,54,3-01948-0040,"91 CLIFTON PLACE
Brooklyn, NY
(40.68810450441841, -73.96046921535479)",CLINTON HILL,D5-ELEVATOR,22,1920,22500,374154,16.63,1270000,56,1,3-01085-0037,"94 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98667016459306)",PARK SLOPE,C1-WALK-UP,30,1920,21195,372014,17.55,1390000,66,0.7
3-01170-0037,"21 BUTLER PLACE
Brooklyn, NY
(40.67488623123476, -73.96867801960728)",PROSPECT HEIGHTS,C6-WALK-UP,23,1915,18000,303439,16.86,1130000,63,3-01158-0021,"180 PROSPECT PLACE
Brooklyn, NY
(40.67804101369567, -73.97084331758587)",PROSPECT HEIGHTS,C1-WALK-UP,16,1931,15480,269262,17.39,1010000,65,0.2,3-02715-0007,"536 GRAHAM AVENUE
Brooklyn, NY
(40.72139993510656, -73.9469032523403)",GREENPOINT,C1-WALK-UP,16,1920,12672,213056,16.81,797000,63,3.35
3-01170-0041,"15 BUTLER PLACE
Brooklyn, NY
(40.67484172030078, -73.96876238335423)",PROSPECT HEIGHTS,C6-WALK-UP,20,1930,17680,289363,16.37,1080000,61,3-01158-0021,"180 PROSPECT PLACE
Brooklyn, NY
(40.67804101369567, -73.97084331758587)",PROSPECT HEIGHTS,C1-WALK-UP,16,1931,15480,269262,17.39,1010000,65,0.2,3-02715-0007,"536 GRAHAM AVENUE
Brooklyn, NY
(40.72139993510656, -73.9469032523403)",GREENPOINT,C1-WALK-UP,16,1920,12672,213056,16.81,797000,63,3.35
3-01171-0002,"315 ST JOHN'S PLACE
Brooklyn, NY
(40.67438485183721, -73.96723334391595)",PROSPECT HEIGHTS,D4-ELEVATOR,41,1921,63300,873015,13.79,2720000,43,3-00265-0006,"59 LIVINGSTON STREET
Brooklyn, NY
(40.691765672845165, -73.99190984647106)",BROOKLYN HEIGHTS,D1-ELEVATOR,43,1917,63224,1156468,18.29,4320000,68,1.75,3-01085-0037,"94 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98667016459306)",PARK SLOPE,C1-WALK-UP,30,1920,21195,372014,17.55,1390000,66,0.7
3-01171-0007,"295 ST JOHN'S PLACE
Brooklyn, NY
(40.67420845517449, -73.96782133279166)",PROSPECT HEIGHTS,D4-ELEVATOR,54,1923,86040,1186638,13.79,3700000,43,3-01164-0064,"215 STERLING PLACE
Brooklyn, NY
(40.67616134724687, -73.97066760529106)",PROSPECT HEIGHTS,D1-ELEVATOR,82,1937,92902,1439718,15.5,4870000,52,0.2,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,2.05
3-01171-0019,"60 PLAZA ST
Brooklyn, NY
(40.67310044277091, -73.97117519249055)",PROSPECT HEIGHTS,D4-ELEVATOR,80,1940,97320,1342208,13.79,4180000,43,3-01164-0064,"215 STERLING PLACE
Brooklyn, NY
(40.67616134724687, -73.97066760529106)",PROSPECT HEIGHTS,D1-ELEVATOR,82,1937,92902,1439718,15.5,4870000,52,0.2,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2536474,16.15,5380000,34.3,2.05
3-01171-0048,"328 STERLING PLACE
Brooklyn, NY
(40.675385056017895, -73.96726612141417)",PROSPECT HEIGHTS,D4-ELEVATOR,25,1931,23875,329277,13.79,1030000,43.1,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,599874,15.28,2030000,52,0.6,3-01380-0014,"1540 STERLING PLACE
Brooklyn, NY
(40.6712688405792, -73.92766101989395)",CROWN HEIGHTS,D1-ELEVATOR,34,1923,25840,348597,13.49,1090000,42.2,2.15
3-01172-0001,"35 EASTERN PARKWAY
Brooklyn, NY
(40.67307628016025, -73.96745703804339)",PROSPECT HEIGHTS,D4-ELEVATOR,70,1961,35160,692146,19.69,2590000,74,3-00242-0018,"191 HICKS STREET
Brooklyn, NY
(40.69586019482132, -73.99552357285327)",BROOKLYN HEIGHTS,D9-ELEVATOR,19,1920,24528,494757,20.17,1850000,75,2.05,3-00268-0039,"54 LIVINGSTON STREET
Brooklyn, NY
(40.69175587256905, -73.99208589968839)",BROOKLYN HEIGHTS,D9-ELEVATOR,32,1900,21040,372927,17.72,1390000,66,1.8
3-01172-0019,"274 ST JOHN'S PLACE
Brooklyn, NY
(40.67397201483927, -73.9684319069142)",PROSPECT HEIGHTS,C6-WALK-UP,16,1912,12628,263117,20.84,1090000,86,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.1,3-01970-0001,"51 CLASSON AVENUE
Brooklyn, NY
(40.698595632508564, -73.96175221110734)",BEDFORD STUYVESANT,C1-WALK-UP,20,1930,14796,306469,20.71,1150000,78,1
3-01172-0021,"280 ST JOHN'S PLACE
Brooklyn, NY
(40.674024499795635, -73.96823799781384)",PROSPECT HEIGHTS,C6-WALK-UP,16,1912,12628,263117,20.84,1090000,86,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.1,3-01970-0001,"51 CLASSON AVENUE
Brooklyn, NY
(40.698595632508564, -73.96175221110734)",BEDFORD STUYVESANT,C1-WALK-UP,20,1930,14796,306469,20.71,1150000,78,1
3-01173-0038,"426 STERLING PLACE
Brooklyn, NY
(40.67475191151792, -73.96418284771202)",PROSPECT HEIGHTS,C6-WALK-UP,16,1910,15000,312541,20.84,1290000,86,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.25,3-01970-0001,"51 CLASSON AVENUE
Brooklyn, NY
(40.698595632508564, -73.96175221110734)",BEDFORD STUYVESANT,C1-WALK-UP,20,1930,14796,306469,20.71,1150000,78,0.9
3-01173-0040,"430 STERLING PLACE
Brooklyn, NY
(40.674728060227515, -73.96406630849562)",PROSPECT HEIGHTS,C6-WALK-UP,16,1910,15000,312541,20.84,1290000,86,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.25,3-01970-0001,"51 CLASSON AVENUE
Brooklyn, NY
(40.698595632508564, -73.96175221110734)",BEDFORD STUYVESANT,C1-WALK-UP,20,1930,14796,306469,20.71,1150000,78,0.9
3-01173-0041,"436 STERLING PLACE
Brooklyn, NY
(40.67469228329191, -73.963891499671)",PROSPECT HEIGHTS,C6-WALK-UP,20,1911,16984,353879,20.84,1470000,87,3-00817-0001,"5319 6 AVENUE
Brooklyn, NY
(40.64196901132735, -74.00994677300899)",SUNSET PARK,C1-WALK-UP,16,1911,10460,214127,20.47,454000,43.4,3.25,3-01970-0001,"51 CLASSON AVENUE
Brooklyn, NY
(40.698595632508564, -73.96175221110734)",BEDFORD STUYVESANT,C1-WALK-UP,20,1930,14796,306469,20.71,1150000,78,0.9
3-01173-0048,"786 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PROSPECT HEIGHTS,C6-WALK-UP,16,1910,8620,177229,20.56,734000,85,3-01162-0011,"633 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,7280,162270,22.29,672000,92,0.2,3-01162-0010,"635 GRAND AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,C1-WALK-UP,11,1931,6924,160881,23.24,666000,96,0.2
3-01173-0063,"415 ST JOHN'S PLACE
Brooklyn, NY
(40.67386036664465, -73.96408170426378)",PROSPECT HEIGHTS,C6-WALK-UP,15,1912,15612,280076,17.94,1050000,67,3-00975-0017,"390 2 STREET
Brooklyn, NY
(40.672989449654544, -73.98200742688056)",PARK SLOPE,C1-WALK-UP,16,1920,16752,371499,22.18,1540000,92,0.9,3-00312-0038,"251 KANE STREET
Brooklyn, NY
(40.685718503008644, -73.99513475265829)",COBBLE HILL,C1-WALK-UP,12,1910,11000,216299,19.66,809000,74,1.8
3-01173-0080,"365 ST JOHN'S PLACE
Brooklyn, NY
(40.674175135439455, -73.96558758679346)",PROSPECT HEIGHTS,C6-WALK-UP,16,1909,13385,240114,17.94,898000,67,3-00975-0017,"390 2 STREET
Brooklyn, NY
(40.672989449654544, -73.98200742688056)",PARK SLOPE,C1-WALK-UP,16,1920,16752,371499,22.18,1540000,92,0.9,3-00312-0038,"251 KANE STREET
Brooklyn, NY
(40.685718503008644, -73.99513475265829)",COBBLE HILL,C1-WALK-UP,12,1910,11000,216299,19.66,809000,74,1.8
3-01175-0021,"572 STERLING PLACE
Brooklyn, NY
(40.67379763346991, -73.95957121061804)",CROWN HEIGHTS,C6-WALK-UP,16,1915,11584,177235,15.3,599000,52,3-01163-0078,"589 PARK PLACE
Brooklyn, NY
(40.674533170310646, -73.9583110886742)",CROWN HEIGHTS,C1-WALK-UP,16,1931,10992,169564,15.43,573000,52,0.15,3-01212-0059,"1061 BERGEN STREET
Brooklyn, NY
(40.676183159651096, -73.95108432272922)",CROWN HEIGHTS,C1-WALK-UP,16,1905,12520,159666,12.75,497000,39.7,0.45
3-01176-0025,"388 ST JOHN'S PLACE
Brooklyn, NY
(40.673989610481506, -73.96497207434662)",PROSPECT HEIGHTS,C6-WALK-UP,16,1915,9688,146843,15.16,381000,39.3,3-02715-0007,"536 GRAHAM AVENUE
Brooklyn, NY
(40.72139993510656, -73.9469032523403)",GREENPOINT,C1-WALK-UP,16,1920,12672,213056,16.81,797000,63,3.45,3-01984-0011,"51 IRVING PLACE
Brooklyn, NY
(40.68351977611651, -73.95986894417466)",CLINTON HILL,C1-WALK-UP,14,1930,9180,181412,19.76,678000,74,0.8
3-01176-0032,"408 ST JOHN'S PLACE
Brooklyn, NY
(40.673873099011274, -73.96441467288109)",PROSPECT HEIGHTS,D4-ELEVATOR,36,1924,41800,631038,15.1,2130000,51,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,599874,15.28,2030000,52,0.7,3-01361-0043,"1248 ST MARK'S AVENUE
Brooklyn, NY
(40.67398101296159, -73.9281757668908)",CROWN HEIGHTS,D1-ELEVATOR,48,1926,37400,601194,16.07,2030000,54,1.9
3-01176-0036,"418 ST JOHN'S PLACE
Brooklyn, NY
(40.67381484330594, -73.96413597229079)",PROSPECT HEIGHTS,D4-ELEVATOR,36,1924,41600,628019,15.1,2120000,51,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,599874,15.28,2030000,52,0.7,3-01361-0043,"1248 ST MARK'S AVENUE
Brooklyn, NY
(40.67398101296159, -73.9281757668908)",CROWN HEIGHTS,D1-ELEVATOR,48,1926,37400,601194,16.07,2030000,54,1.9
3-01176-0047,"375 LINCOLN PLACE
Brooklyn, NY
(40.67302982047667, -73.96386014579524)",PROSPECT HEIGHTS,C6-WALK-UP,39,1921,36352,664489,18.28,2480000,68,3-01089-0001,"719 8 AVENUE
Brooklyn, NY
(40.66682871613259, -73.97828804034879)",PARK SLOPE,C1-WALK-UP,32,1905,31468,723379,22.99,3000000,95,0.85,3-01153-0010,"93 UNDERHILL AVENUE
Brooklyn, NY
(40.677896119241964, -73.96562100439604)",PROSPECT HEIGHTS,C1-WALK-UP,35,1930,32835,563678,17.17,2110000,64,0.25
3-01178-0057,"553 LINCOLN PLACE
Brooklyn, NY
(40.671662764938624, -73.95811361659234)",CROWN HEIGHTS,C6-WALK-UP,16,1911,18136,252820,13.94,787000,43.4,3-02495-0042,"1085 MANHATTAN AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",GREENPOINT,C1-WALK-UP,12,1931,13250,237257,17.91,503000,38,4.35,3-01281-0009,"1589 BEDFORD AVENUE
Brooklyn, NY
(40.66806387484246, -73.95600293757488)",CROWN HEIGHTS,C1-WALK-UP,16,1905,13200,232529,17.62,869000,66,0.4
