BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF CLASSES,TOTAL REGISTER,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,GEN ED,-,-,-,1,18,18,18,18,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,CTT,-,-,-,1,19,19,19,19,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,GEN ED,-,-,-,1,22,22,22,22,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,GEN ED,-,-,-,2,32,16,16,16,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,03,GEN ED,-,-,-,2,32,16,16,16,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,04,GEN ED,-,-,-,2,36,18,16,20,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,GEN ED,-,-,-,1,19,19,19,19,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,CTT,-,-,-,1,23,23,23,23,ATS
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12,ATS
M,1,M019,P.S. 019 ASHER LEVY,01,GEN ED,-,-,-,2,36,18,16,20,ATS
M,1,M019,P.S. 019 ASHER LEVY,01,G&T,-,-,-,1,12,12,12,12,ATS
M,1,M019,P.S. 019 ASHER LEVY,02,GEN ED,-,-,-,1,23,23,23,23,ATS
M,1,M019,P.S. 019 ASHER LEVY,02,CTT,-,-,-,1,21,21,21,21,ATS
M,1,M019,P.S. 019 ASHER LEVY,03,GEN ED,-,-,-,1,27,27,27,27,ATS
M,1,M019,P.S. 019 ASHER LEVY,03,CTT,-,-,-,1,26,26,26,26,ATS
M,1,M019,P.S. 019 ASHER LEVY,04,GEN ED,-,-,-,2,47,23.5,23,24,ATS
M,1,M019,P.S. 019 ASHER LEVY,05,GEN ED,-,-,-,2,43,21.5,21,22,ATS
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1,1,21,21,21,21,ATS
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1,1,5,5,21,21,ATS
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,1,21,21,21,21,ATS
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,1,10,10,21,21,ATS
M,1,M020,P.S. 020 ANNA SILVER,0K,GEN ED,-,-,-,3,58,19.3,19,20,ATS
M,1,M020,P.S. 020 ANNA SILVER,0K,CTT,-,-,-,1,20,20,20,20,ATS
M,1,M020,P.S. 020 ANNA SILVER,01,GEN ED,-,-,-,3,65,21.7,20,24,ATS
M,1,M020,P.S. 020 ANNA SILVER,01,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M020,P.S. 020 ANNA SILVER,02,GEN ED,-,-,-,4,94,23.5,22,25,ATS
M,1,M020,P.S. 020 ANNA SILVER,03,GEN ED,-,-,-,4,95,23.8,23,25,ATS
M,1,M020,P.S. 020 ANNA SILVER,04,GEN ED,-,-,-,3,63,21,17,24,ATS
M,1,M020,P.S. 020 ANNA SILVER,04,CTT,-,-,-,1,25,25,25,25,ATS
M,1,M020,P.S. 020 ANNA SILVER,05,GEN ED,-,-,-,4,86,21.5,19,23,ATS
M,1,M020,P.S. 020 ANNA SILVER,0K-09,SPEC ED,-,-,12:1:1,3,29,9.7,9,10,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K,GEN ED,-,-,-,2,35,17.5,16,19,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,01,GEN ED,-,-,-,2,30,15,15,15,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,02,GEN ED,-,-,-,2,34,17,16,18,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,03,GEN ED,-,-,-,2,37,18.5,18,19,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,04,GEN ED,-,-,-,2,37,18.5,18,19,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,05,GEN ED,-,-,-,1,22,22,22,22,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,05,CTT,-,-,-,1,21,21,21,21,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,06,GEN ED,-,-,-,1,23,23,23,23,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,06,CTT,-,-,-,1,24,24,24,24,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,07,GEN ED,-,-,-,1,26,26,26,26,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,07,CTT,-,-,-,1,30,30,30,30,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,08,GEN ED,-,-,-,1,31,31,31,31,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,08,CTT,-,-,-,1,33,33,33,33,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K-09,SPEC ED,-,-,12:1,2,12,6,2,10,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS CORE,GEN ED,ENGLISH,-,-,6,167,27.8,23,33,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS CORE,GEN ED,SOCIAL STUDIES,-,-,6,167,27.8,23,33,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS CORE,GEN ED,SCIENCE,-,-,6,167,27.8,23,33,ATS
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS CORE,GEN ED,MATH,-,-,6,167,27.8,23,33,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K,GEN ED,-,-,-,1,15,15,15,15,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,01,GEN ED,-,-,-,1,18,18,18,18,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,02,GEN ED,-,-,-,1,12,12,12,12,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,02,CTT,-,-,-,1,15,15,15,15,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,03,GEN ED,-,-,-,1,20,20,20,20,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,03,CTT,-,-,-,1,20,20,20,20,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,04,GEN ED,-,-,-,2,27,13.5,12,15,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,05,GEN ED,-,-,-,2,28,14,13,15,ATS
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K-09,SPEC ED,-,-,12:1:1,1,11,11,11,11,ATS
M,1,M064,P.S. 064 ROBERT SIMON,0K,GEN ED,-,-,-,1,17,17,17,17,ATS
M,1,M064,P.S. 064 ROBERT SIMON,0K,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M064,P.S. 064 ROBERT SIMON,01,GEN ED,-,-,-,1,23,23,23,23,ATS
M,1,M064,P.S. 064 ROBERT SIMON,01,CTT,-,-,-,1,20,20,20,20,ATS
M,1,M064,P.S. 064 ROBERT SIMON,02,GEN ED,-,-,-,1,25,25,25,25,ATS
M,1,M064,P.S. 064 ROBERT SIMON,02,CTT,-,-,-,1,21,21,21,21,ATS
M,1,M064,P.S. 064 ROBERT SIMON,03,GEN ED,-,-,-,1,21,21,21,21,ATS
M,1,M064,P.S. 064 ROBERT SIMON,03,CTT,-,-,-,1,24,24,24,24,ATS
M,1,M064,P.S. 064 ROBERT SIMON,04,GEN ED,-,-,-,2,38,19,19,19,ATS
M,1,M064,P.S. 064 ROBERT SIMON,05,GEN ED,-,-,-,1,22,22,22,22,ATS
M,1,M064,P.S. 064 ROBERT SIMON,05,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M064,P.S. 064 ROBERT SIMON,0K-09,SPEC ED,-,-,12:1,2,19,9.5,9,10,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,GEN ED,-,-,-,1,28,28,28,28,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,CTT,-,-,-,1,25,25,25,25,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,G&T,-,-,-,1,17,17,17,17,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,GEN ED,-,-,-,1,27,27,27,27,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,CTT,-,-,-,1,25,25,25,25,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,G&T,-,-,-,1,29,29,29,29,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,GEN ED,-,-,-,1,26,26,26,26,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,CTT,-,-,-,1,20,20,20,20,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,G&T,-,-,-,1,26,26,26,26,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,GEN ED,-,-,-,1,22,22,22,22,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,CTT,-,-,-,1,20,20,20,20,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,G&T,-,-,-,1,21,21,21,21,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,GEN ED,-,-,-,1,29,29,29,29,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,CTT,-,-,-,1,26,26,26,26,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,G&T,-,-,-,1,28,28,28,28,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,CTT,-,-,-,1,27,27,27,27,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,G&T,-,-,-,1,27,27,27,27,ATS
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K-09,SPEC ED,-,-,12:1:1,1,13,13,13,13,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K,GEN ED,-,-,-,3,58,19.3,17,21,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,01,GEN ED,-,-,-,3,57,19,15,22,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,02,GEN ED,-,-,-,2,45,22.5,22,23,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,03,GEN ED,-,-,-,3,52,17.3,15,19,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,04,GEN ED,-,-,-,3,63,21,21,21,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,05,GEN ED,-,-,-,2,55,27.5,27,28,ATS
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K-09,SPEC ED,-,-,12:1,2,25,12.5,12,13,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K,GEN ED,-,-,-,2,30,15,13,17,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,01,GEN ED,-,-,-,2,33,16.5,16,17,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,02,GEN ED,-,-,-,2,26,13,12,14,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,03,GEN ED,-,-,-,1,22,22,22,22,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,04,GEN ED,-,-,-,2,32,16,15,17,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,05,GEN ED,-,-,-,1,20,20,20,20,ATS
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K-09,SPEC ED,-,-,12:1:1,4,32,8,7,10,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,0K,GEN ED,-,-,-,2,35,17.5,17,18,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,01,GEN ED,-,-,-,1,21,21,21,21,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,02,GEN ED,-,-,-,1,25,25,25,25,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,03,GEN ED,-,-,-,2,32,16,14,18,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,04,GEN ED,-,-,-,1,16,16,16,16,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,04,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,05,GEN ED,-,-,-,1,27,27,27,27,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,06,GEN ED,-,-,-,2,58,29,27,31,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,07,GEN ED,-,-,-,1,32,32,32,32,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,07,CTT,-,-,-,1,25,25,25,25,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,08,GEN ED,-,-,-,2,60,30,29,31,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1,1,11,11,11,11,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1:1,1,10,10,11,11,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,MS CORE,GEN ED,ENGLISH,-,-,7,175,25,11,32,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,MS CORE,GEN ED,SOCIAL STUDIES,-,-,7,175,25,11,32,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,MS CORE,GEN ED,SCIENCE,-,-,9,198,22,11,32,ATS
M,1,M140,P.S. 140 NATHAN STRAUS,MS CORE,GEN ED,MATH,-,-,6,175,29.2,11,60,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,0K,GEN ED,-,-,-,2,48,24,24,24,ATS
