BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF CLASSES,TOTAL REGISTER,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE
M,1,M142,P.S. 142 AMALIA CASTRO,0K,CTT,-,-,-,1,18,18,18,18,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,01,GEN ED,-,-,-,3,53,17.7,17,18,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,01,CTT,-,-,-,1,19,19,19,19,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,02,GEN ED,-,-,-,2,44,22,21,23,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,02,CTT,-,-,-,1,24,24,24,24,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,03,GEN ED,-,-,-,3,58,19.3,19,20,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,04,GEN ED,-,-,-,2,41,20.5,20,21,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,04,CTT,-,-,-,1,22,22,22,22,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,05,GEN ED,-,-,-,1,27,27,27,27,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,05,CTT,-,-,-,1,26,26,26,26,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,0K-09,SPEC ED,-,-,12:1,1,13,13,13,13,ATS
M,1,M142,P.S. 142 AMALIA CASTRO,0K-09,SPEC ED,-,-,12:1:1,1,12,12,13,13,ATS
M,1,M184,P.S. 184M SHUANG WEN,0K,GEN ED,-,-,-,3,64,21.3,21,22,ATS
M,1,M184,P.S. 184M SHUANG WEN,01,GEN ED,-,-,-,3,62,20.7,20,21,ATS
M,1,M184,P.S. 184M SHUANG WEN,02,GEN ED,-,-,-,4,80,20,20,20,ATS
M,1,M184,P.S. 184M SHUANG WEN,03,GEN ED,-,-,-,3,69,23,22,24,ATS
M,1,M184,P.S. 184M SHUANG WEN,04,GEN ED,-,-,-,2,57,28.5,28,29,ATS
M,1,M184,P.S. 184M SHUANG WEN,05,GEN ED,-,-,-,2,58,29,28,30,ATS
M,1,M184,P.S. 184M SHUANG WEN,06,GEN ED,-,-,-,2,54,27,26,28,ATS
M,1,M184,P.S. 184M SHUANG WEN,07,GEN ED,-,-,-,2,56,28,28,28,ATS
M,1,M184,P.S. 184M SHUANG WEN,08,GEN ED,-,-,-,2,53,26.5,26,27,ATS
M,1,M184,P.S. 184M SHUANG WEN,MS CORE,GEN ED,ENGLISH,-,-,6,163,27.2,26,28,ATS
M,1,M184,P.S. 184M SHUANG WEN,MS CORE,GEN ED,SOCIAL STUDIES,-,-,6,163,27.2,26,28,ATS
M,1,M184,P.S. 184M SHUANG WEN,MS CORE,GEN ED,SCIENCE,-,-,6,163,27.2,26,28,ATS
M,1,M184,P.S. 184M SHUANG WEN,MS CORE,GEN ED,MATH,-,-,7,159,22.7,5,28,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,0K,GEN ED,-,-,-,1,20,20,20,20,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,01,GEN ED,-,-,-,1,19,19,19,19,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,02,GEN ED,-,-,-,1,19,19,19,19,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,02,CTT,-,-,-,1,17,17,17,17,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,03,GEN ED,-,-,-,1,20,20,20,20,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,03,CTT,-,-,-,1,26,26,26,26,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,05,GEN ED,-,-,-,1,24,24,24,24,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,06,GEN ED,-,-,-,1,21,21,21,21,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,06,CTT,-,-,-,1,19,19,19,19,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,07,GEN ED,-,-,-,1,25,25,25,25,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,07,CTT,-,-,-,1,35,35,35,35,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,08,GEN ED,-,-,-,1,31,31,31,31,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,08,CTT,-,-,-,1,29,29,29,29,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS CORE,GEN ED,ENGLISH,-,-,6,162,27,21,35,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS CORE,GEN ED,SOCIAL STUDIES,-,-,6,162,27,21,35,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS CORE,GEN ED,SCIENCE,-,-,6,162,27,21,35,ATS
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS CORE,GEN ED,MATH,-,-,7,167,23.9,5,35,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,06,GEN ED,-,-,-,3,44,14.7,13,17,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,07,GEN ED,-,-,-,2,43,21.5,21,22,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,08,GEN ED,-,-,-,2,60,30,30,30,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1,3,17,5.7,3,9,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1:1,1,10,10,3,9,ATS
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS CORE,GEN ED,ENGLISH,-,-,10,168,16.8,5,31,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS CORE,GEN ED,SOCIAL STUDIES,-,-,10,168,16.8,5,31,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS CORE,GEN ED,SCIENCE,-,-,10,168,16.8,5,31,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS CORE,GEN ED,MATH,-,-,10,168,16.8,5,31,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 9,-,4,80,20,16,22,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 10,-,4,80,20,11,30,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 11,-,3,63,21,18,27,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 12,-,2,52,26,25,27,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,OTHER,-,1,21,21,21,21,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,-,5,92,18.4,11,25,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,-,4,80,20,17,24,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,-,3,62,20.7,17,25,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,-,2,52,26,25,27,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,OTHER,-,1,18,18,18,18,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,MATCHED SECTIONS,-,-2,-29,-,-,-,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,-,8,161,20.1,12,22,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,EARTH SCIENCE,-,14,322,23,16,29,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,MATH A,-,1,12,12,12,12,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,MATH B,-,4,77,19.3,19,20,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,ALGEBRA,-,6,153,25.5,22,28,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,GEOMETRY,-,3,58,19.3,17,22,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,OTHER,-,1,10,10,10,10,HSST
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,CTT,ALL SUBJECTS,ASSUMED TEAM TEACHING,-,1,29,-,-,-,HSST
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,06,GEN ED,-,-,-,2,51,25.5,24,27,ATS
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,06,CTT,-,-,-,1,21,21,21,21,ATS
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,07,GEN ED,-,-,-,3,76,25.3,24,27,ATS
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,08,GEN ED,-,-,-,2,51,25.5,24,27,ATS
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,0K-09,SPEC ED,-,-,12:1,3,31,10.3,7,12,ATS
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,MS CORE,GEN ED,ENGLISH,-,-,11,225,20.5,6,28,HSST
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,MS CORE,GEN ED,SOCIAL STUDIES,-,-,11,225,20.5,6,28,HSST
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,MS CORE,GEN ED,SCIENCE,-,-,11,225,20.5,6,28,HSST
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,MS CORE,GEN ED,MATH,-,-,11,225,20.5,6,28,HSST
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,0K,GEN ED,-,-,-,1,18,18,18,18,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,0K,CTT,-,-,-,1,11,11,11,11,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,01,GEN ED,-,-,-,1,24,24,24,24,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,01,CTT,-,-,-,1,5,5,5,5,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,02,GEN ED,-,-,-,2,25,12.5,7,18,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,03,GEN ED,-,-,-,1,14,14,14,14,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,04,GEN ED,-,-,-,1,21,21,21,21,ATS
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,05,GEN ED,-,-,-,1,23,23,23,23,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,06,GEN ED,-,-,-,3,60,20,19,21,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,07,GEN ED,-,-,-,2,59,29.5,29,30,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,07,CTT,-,-,-,1,25,25,25,25,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,08,GEN ED,-,-,-,3,86,28.7,27,30,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0K-09,SPEC ED,-,-,12:1,2,18,9,8,10,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0K-09,SPEC ED,-,-,12:1:1,1,2,2,8,10,ATS
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,MS CORE,GEN ED,ENGLISH,-,-,20,447,22.4,5,30,HSST
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,MS CORE,GEN ED,SCIENCE,-,-,11,228,20.7,5,30,HSST
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,MS CORE,GEN ED,MATH,-,-,11,229,20.8,5,30,HSST
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,06,GEN ED,-,-,-,2,60,30,30,30,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,06,CTT,-,-,-,1,30,30,30,30,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,07,GEN ED,-,-,-,2,61,30.5,30,31,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,07,CTT,-,-,-,1,30,30,30,30,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,08,GEN ED,-,-,-,2,61,30.5,29,32,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,08,CTT,-,-,-,1,30,30,30,30,ATS
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,0K-09,SPEC ED,-,-,12:1:1,3,20,6.7,2,11,ATS
