DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,80,49,12,15.00%,24.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,86,47,14,16.30%,29.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,61,46,3,4.90%,6.50%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,59,37,8,13.60%,21.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,68,46,5,7.40%,10.90%
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,63,46,4,6.30%,8.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,72,53,5,6.90%,9.40%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,61,37,2,3.30%,5.40%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,93,68,3,3.20%,4.40%
02M374,GRAMERCY ARTS HIGH SCHOOL,2007,72,53,1,1.40%,1.90%
02M394,EMMA LAZARUS HIGH SCHOOL,2006,10,0,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2007,14,1,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,352,262,122,34.70%,46.60%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2007,340,273,125,36.80%,45.80%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2006,80,74,25,31.30%,33.80%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,100,90,31,31.00%,34.40%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,105,103,74,70.50%,71.80%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2007,106,105,86,81.10%,81.90%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2006,124,113,70,56.50%,61.90%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2007,137,124,96,70.10%,77.40%
02M414,NYC MUSEUM SCHOOL,2006,106,100,22,20.80%,22.00%
02M414,NYC MUSEUM SCHOOL,2007,98,94,41,41.80%,43.60%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,127,127,103,81.10%,81.10%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2007,114,114,100,87.70%,87.70%
02M418,MILLENNIUM HIGH SCHOOL,2006,150,145,97,64.70%,66.90%
02M418,MILLENNIUM HIGH SCHOOL,2007,146,134,96,65.80%,71.60%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2006,341,280,90,26.40%,32.10%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2007,358,283,85,23.70%,30.00%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2006,144,78,18,12.50%,23.10%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2007,151,106,20,13.20%,18.90%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,365,139,19,5.20%,13.70%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2007,292,84,20,6.80%,23.80%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,443,230,24,5.40%,10.40%
02M460,WASHINGTON IRVING HIGH SCHOOL,2007,407,188,18,4.40%,9.60%
02M475,STUYVESANT HIGH SCHOOL,2006,787,774,773,98.20%,99.90%
02M475,STUYVESANT HIGH SCHOOL,2007,784,761,754,96.20%,99.10%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2006,177,136,53,29.90%,39.00%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2007,192,154,59,30.70%,38.30%
