DISTRICT###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
4,SPECIAL CLASS - Grades K-9#,12:1:1         ,,11.6
4,SPECIAL CLASS - High School,Mainstream,ENGLISH,23.9
4,SPECIAL CLASS - High School,Mainstream,MATH   ,21.7
4,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,27.2
4,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.5
4,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.9
4,SPECIAL CLASS - High School,Self-Contained,MATH   ,14.1
4,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,12.1
4,SPECIAL CLASS - High School,Self-Contained,SCIENCE,14.1
4,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,15.6
4,COLLABORATIVE TEAM TEACHING    ,1,,18.3
4,COLLABORATIVE TEAM TEACHING    ,2,,19.3
4,COLLABORATIVE TEAM TEACHING    ,3,,20.8
4,COLLABORATIVE TEAM TEACHING    ,4,,22.3
4,COLLABORATIVE TEAM TEACHING    ,5,,23.8
4,COLLABORATIVE TEAM TEACHING    ,6,,23.3
4,COLLABORATIVE TEAM TEACHING    ,7,,28.5
4,COLLABORATIVE TEAM TEACHING    ,8,,29.7
4,GIFTED & TALENTED    ,Kindergarten             ,,19.5
4,GIFTED & TALENTED    ,1,,24.5
4,GIFTED & TALENTED    ,2,,21.5
4,GIFTED & TALENTED    ,3,,24.5
4,GIFTED & TALENTED    ,4,,27.5
4,GIFTED & TALENTED    ,5,,25.5
4,GIFTED & TALENTED    ,6,,26.2
4,GIFTED & TALENTED    ,7,,28.4
4,GIFTED & TALENTED    ,8,,28.2
5,GENERAL EDUCATION ,Kindergarten             ,,17.8
5,GENERAL EDUCATION ,1,,20.4
5,GENERAL EDUCATION ,2,,19.5
5,GENERAL EDUCATION ,3,,21.1
5,GENERAL EDUCATION ,4,,23.3
5,GENERAL EDUCATION ,5,,23.3
5,GENERAL EDUCATION ,6,,22.1
5,GENERAL EDUCATION ,7,,25.6
5,GENERAL EDUCATION ,8,,27.3
5,GENERAL EDUCATION,9,ENGLISH,25.6
5,GENERAL EDUCATION,9,MATH   ,26.1
5,GENERAL EDUCATION,9,SOCIAL STUDIES,27.2
5,GENERAL EDUCATION,9,SCIENCE,27.8
5,GENERAL EDUCATION,10,ENGLISH,27.1
5,GENERAL EDUCATION,10,MATH   ,26.4
5,GENERAL EDUCATION,10,SOCIAL STUDIES,26
5,GENERAL EDUCATION,10,SCIENCE,27.2
5,GENERAL EDUCATION,11,ENGLISH,28.1
5,GENERAL EDUCATION,11,MATH   ,26.2
5,GENERAL EDUCATION,11,SOCIAL STUDIES,25.2
5,GENERAL EDUCATION,11,SCIENCE,27.8
5,GENERAL EDUCATION,12,ENGLISH,25.1
5,GENERAL EDUCATION,12,MATH   ,25.4
5,GENERAL EDUCATION,12,SOCIAL STUDIES,25.4
5,GENERAL EDUCATION,12,SCIENCE,27
5,SPECIAL CLASS - Grades K-9#,12:1           ,,10.2
5,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.9
5,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.3
5,SPECIAL CLASS - High School,Mainstream,MATH   ,25.5
5,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.2
5,SPECIAL CLASS - High School,Mainstream,SCIENCE,19.2
5,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12
5,SPECIAL CLASS - High School,Self-Contained,MATH   ,11.3
5,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,11.8
5,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11.9
5,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,17.7
5,COLLABORATIVE TEAM TEACHING    ,1,,24.7
5,COLLABORATIVE TEAM TEACHING    ,2,,23.8
5,COLLABORATIVE TEAM TEACHING    ,3,,17.3
5,COLLABORATIVE TEAM TEACHING    ,4,,20.8
5,COLLABORATIVE TEAM TEACHING    ,5,,22.2
5,COLLABORATIVE TEAM TEACHING    ,6,,21.3
5,COLLABORATIVE TEAM TEACHING    ,7,,28.3
5,COLLABORATIVE TEAM TEACHING    ,8,,24
5,GIFTED & TALENTED    ,Kindergarten             ,,19
5,GIFTED & TALENTED    ,1,,16
6,GENERAL EDUCATION ,Kindergarten             ,,21.1
6,GENERAL EDUCATION ,1,,22.9
6,GENERAL EDUCATION ,2,,22.6
6,GENERAL EDUCATION ,3,,23.1
6,GENERAL EDUCATION ,4,,24.3
6,GENERAL EDUCATION ,5,,25.4
6,GENERAL EDUCATION ,6,,24.8
6,GENERAL EDUCATION ,7,,27.2
6,GENERAL EDUCATION ,8,,27.4
6,GENERAL EDUCATION,9,ENGLISH,23.8
6,GENERAL EDUCATION,9,MATH   ,24.6
6,GENERAL EDUCATION,9,SOCIAL STUDIES,26
6,GENERAL EDUCATION,9,SCIENCE,24.8
6,GENERAL EDUCATION,10,ENGLISH,27.5
6,GENERAL EDUCATION,10,MATH   ,26.9
6,GENERAL EDUCATION,10,SOCIAL STUDIES,27.9
6,GENERAL EDUCATION,10,SCIENCE,27.9
6,GENERAL EDUCATION,11,ENGLISH,27.3
6,GENERAL EDUCATION,11,MATH   ,26.1
6,GENERAL EDUCATION,11,SOCIAL STUDIES,27.7
6,GENERAL EDUCATION,11,SCIENCE,27.5
6,GENERAL EDUCATION,12,ENGLISH,27.2
6,GENERAL EDUCATION,12,MATH   ,24.9
6,GENERAL EDUCATION,12,SOCIAL STUDIES,26.6
6,GENERAL EDUCATION,12,SCIENCE,26.4
6,SPECIAL CLASS - Grades K-9#,12:1           ,,8.8
6,SPECIAL CLASS - Grades K-9#,12:1:1         ,,9.5
6,SPECIAL CLASS - High School,Mainstream,ENGLISH,27.2
6,SPECIAL CLASS - High School,Mainstream,MATH   ,26.4
6,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.1
6,SPECIAL CLASS - High School,Mainstream,SCIENCE,25.6
6,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12
6,SPECIAL CLASS - High School,Self-Contained,MATH   ,10.8
6,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,10.8
6,SPECIAL CLASS - High School,Self-Contained,SCIENCE,11.1
6,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.7
6,COLLABORATIVE TEAM TEACHING    ,1,,19.3
6,COLLABORATIVE TEAM TEACHING    ,2,,22.3
6,COLLABORATIVE TEAM TEACHING    ,3,,21
6,COLLABORATIVE TEAM TEACHING    ,4,,21.3
6,COLLABORATIVE TEAM TEACHING    ,5,,25
6,COLLABORATIVE TEAM TEACHING    ,6,,22.7
6,COLLABORATIVE TEAM TEACHING    ,7,,25
6,COLLABORATIVE TEAM TEACHING    ,8,,30
6,GIFTED & TALENTED    ,Kindergarten             ,,18.5
6,GIFTED & TALENTED    ,1,,22.3
6,GIFTED & TALENTED    ,2,,18
6,GIFTED & TALENTED    ,3,,21.3
6,GIFTED & TALENTED    ,4,,22.8
6,GIFTED & TALENTED    ,5,,24.6
6,GIFTED & TALENTED    ,6,,27.3
6,GIFTED & TALENTED    ,7,,26
6,GIFTED & TALENTED    ,8,,26.8
7,GENERAL EDUCATION ,Kindergarten             ,,19
7,GENERAL EDUCATION ,1,,19.7
7,GENERAL EDUCATION ,2,,20.1
7,GENERAL EDUCATION ,3,,18.1
7,GENERAL EDUCATION ,4,,20.9
7,GENERAL EDUCATION ,5,,21.9
7,GENERAL EDUCATION ,6,,27
7,GENERAL EDUCATION ,7,,26.2
7,GENERAL EDUCATION ,8,,25.6
7,GENERAL EDUCATION,9,ENGLISH,25.6
7,GENERAL EDUCATION,9,MATH   ,24.2
7,GENERAL EDUCATION,9,SOCIAL STUDIES,26.4
7,GENERAL EDUCATION,9,SCIENCE,27.3
7,GENERAL EDUCATION,10,ENGLISH,27.3
7,GENERAL EDUCATION,10,MATH   ,24.7
7,GENERAL EDUCATION,10,SOCIAL STUDIES,27.2
7,GENERAL EDUCATION,10,SCIENCE,26.9
7,GENERAL EDUCATION,11,ENGLISH,24.3
7,GENERAL EDUCATION,11,MATH   ,24.7
7,GENERAL EDUCATION,11,SOCIAL STUDIES,26.1
7,GENERAL EDUCATION,11,SCIENCE,25.8
7,GENERAL EDUCATION,12,ENGLISH,23.9
7,GENERAL EDUCATION,12,MATH   ,20.7
7,GENERAL EDUCATION,12,SOCIAL STUDIES,26.4
7,GENERAL EDUCATION,12,SCIENCE,22.8
7,SPECIAL CLASS - Grades K-9#,12:1           ,,11.1
7,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.6
7,SPECIAL CLASS - High School,Mainstream,ENGLISH,25.4
7,SPECIAL CLASS - High School,Mainstream,MATH   ,23.4
7,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,25.6
7,SPECIAL CLASS - High School,Mainstream,SCIENCE,21.3
7,SPECIAL CLASS - High School,Self-Contained,ENGLISH,11.8
7,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.2
7,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,12.5
7,SPECIAL CLASS - High School,Self-Contained,SCIENCE,12.1
7,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.6
7,COLLABORATIVE TEAM TEACHING    ,1,,23.5
7,COLLABORATIVE TEAM TEACHING    ,2,,20.6
7,COLLABORATIVE TEAM TEACHING    ,3,,20.4
7,COLLABORATIVE TEAM TEACHING    ,4,,20.5
7,COLLABORATIVE TEAM TEACHING    ,5,,19.6
7,COLLABORATIVE TEAM TEACHING    ,6,,21.8
7,COLLABORATIVE TEAM TEACHING    ,7,,22
7,COLLABORATIVE TEAM TEACHING    ,8,,20.5
8,GENERAL EDUCATION ,Kindergarten             ,,21.1
8,GENERAL EDUCATION ,1,,21.6
8,GENERAL EDUCATION ,2,,21.3
8,GENERAL EDUCATION ,3,,20.9
8,GENERAL EDUCATION ,4,,24.2
8,GENERAL EDUCATION ,5,,24.9
8,GENERAL EDUCATION ,6,,26.6
8,GENERAL EDUCATION ,7,,27.4
8,GENERAL EDUCATION ,8,,28.1
8,GENERAL EDUCATION ,09#           ,,30.3
8,GENERAL EDUCATION,9,ENGLISH,27
8,GENERAL EDUCATION,9,MATH   ,27.6
8,GENERAL EDUCATION,9,SOCIAL STUDIES,28.8
8,GENERAL EDUCATION,9,SCIENCE,28.3
8,GENERAL EDUCATION,10,ENGLISH,27.6
8,GENERAL EDUCATION,10,MATH   ,27.9
8,GENERAL EDUCATION,10,SOCIAL STUDIES,28.5
8,GENERAL EDUCATION,10,SCIENCE,28.4
8,GENERAL EDUCATION,11,ENGLISH,26.6
8,GENERAL EDUCATION,11,MATH   ,25.6
8,GENERAL EDUCATION,11,SOCIAL STUDIES,28
8,GENERAL EDUCATION,11,SCIENCE,27.3
8,GENERAL EDUCATION,12,ENGLISH,26.1
8,GENERAL EDUCATION,12,MATH   ,25.6
8,GENERAL EDUCATION,12,SOCIAL STUDIES,27.8
8,GENERAL EDUCATION,12,SCIENCE,26.8
8,SPECIAL CLASS - Grades K-9#,12:1           ,,11.1
8,SPECIAL CLASS - Grades K-9#,12:1:1         ,,11
8,SPECIAL CLASS - High School,Mainstream,ENGLISH,26.7
8,SPECIAL CLASS - High School,Mainstream,MATH   ,25.9
8,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,26.5
8,SPECIAL CLASS - High School,Mainstream,SCIENCE,25.4
8,SPECIAL CLASS - High School,Self-Contained,ENGLISH,13.1
8,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.9
8,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,12.8
8,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.2
8,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.2
8,COLLABORATIVE TEAM TEACHING    ,1,,22.4
8,COLLABORATIVE TEAM TEACHING    ,2,,18.7
8,COLLABORATIVE TEAM TEACHING    ,3,,20.8
8,COLLABORATIVE TEAM TEACHING    ,4,,22.8
8,COLLABORATIVE TEAM TEACHING    ,5,,22
8,COLLABORATIVE TEAM TEACHING    ,6,,22.2
8,COLLABORATIVE TEAM TEACHING    ,7,,22.7
8,COLLABORATIVE TEAM TEACHING    ,8,,25.8
9,GENERAL EDUCATION ,Kindergarten             ,,20.8
9,GENERAL EDUCATION ,1,,21.9
9,GENERAL EDUCATION ,2,,20.8
9,GENERAL EDUCATION ,3,,20.4
9,GENERAL EDUCATION ,4,,22.9
9,GENERAL EDUCATION ,5,,23.8
9,GENERAL EDUCATION ,6,,24
9,GENERAL EDUCATION ,7,,27
9,GENERAL EDUCATION ,8,,26.8
9,GENERAL EDUCATION,9,ENGLISH,25.6
9,GENERAL EDUCATION,9,MATH   ,26.4
9,GENERAL EDUCATION,9,SOCIAL STUDIES,26.5
9,GENERAL EDUCATION,9,SCIENCE,26.9
9,GENERAL EDUCATION,10,ENGLISH,24.7
9,GENERAL EDUCATION,10,MATH   ,25.8
9,GENERAL EDUCATION,10,SOCIAL STUDIES,26.1
9,GENERAL EDUCATION,10,SCIENCE,26.4
9,GENERAL EDUCATION,11,ENGLISH,24.5
9,GENERAL EDUCATION,11,MATH   ,25.1
9,GENERAL EDUCATION,11,SOCIAL STUDIES,25.1
9,GENERAL EDUCATION,11,SCIENCE,24.8
9,GENERAL EDUCATION,12,ENGLISH,28.1
9,GENERAL EDUCATION,12,MATH   ,24.8
9,GENERAL EDUCATION,12,SOCIAL STUDIES,24.4
9,GENERAL EDUCATION,12,SCIENCE,23.8
9,SPECIAL CLASS - Grades K-9#,12:1           ,,10.8
9,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.9
9,SPECIAL CLASS - High School,Mainstream,ENGLISH,27.4
9,SPECIAL CLASS - High School,Mainstream,MATH   ,29.8
9,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,28.1
9,SPECIAL CLASS - High School,Mainstream,SCIENCE,27.8
9,SPECIAL CLASS - High School,Self-Contained,ENGLISH,9.9
9,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.5
9,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13
9,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,21.3
9,COLLABORATIVE TEAM TEACHING    ,1,,21.6
9,COLLABORATIVE TEAM TEACHING    ,2,,19.4
9,COLLABORATIVE TEAM TEACHING    ,3,,19.6
9,COLLABORATIVE TEAM TEACHING    ,4,,18.2
9,COLLABORATIVE TEAM TEACHING    ,5,,21.5
9,COLLABORATIVE TEAM TEACHING    ,6,,21.2
9,COLLABORATIVE TEAM TEACHING    ,7,,19
9,COLLABORATIVE TEAM TEACHING    ,8,,22.3
10,GENERAL EDUCATION ,Kindergarten             ,,22.4
10,GENERAL EDUCATION ,1,,22.9
10,GENERAL EDUCATION ,2,,22.8
10,GENERAL EDUCATION ,3,,22.4
10,GENERAL EDUCATION ,4,,24.8
10,GENERAL EDUCATION ,5,,25.4
10,GENERAL EDUCATION ,6,,25.6
10,GENERAL EDUCATION ,7,,26.3
10,GENERAL EDUCATION ,8,,26.7
10,GENERAL EDUCATION,9,ENGLISH,27.1
10,GENERAL EDUCATION,9,MATH   ,27.4
10,GENERAL EDUCATION,9,SOCIAL STUDIES,28.6
10,GENERAL EDUCATION,9,SCIENCE,27.8
10,GENERAL EDUCATION,10,ENGLISH,27.6
10,GENERAL EDUCATION,10,MATH   ,27.8
10,GENERAL EDUCATION,10,SOCIAL STUDIES,27.9
10,GENERAL EDUCATION,10,SCIENCE,27.7
10,GENERAL EDUCATION,11,ENGLISH,26.9
10,GENERAL EDUCATION,11,MATH   ,27.2
10,GENERAL EDUCATION,11,SOCIAL STUDIES,27.6
10,GENERAL EDUCATION,11,SCIENCE,27.3
10,GENERAL EDUCATION,12,ENGLISH,26.9
10,GENERAL EDUCATION,12,MATH   ,27
10,GENERAL EDUCATION,12,SOCIAL STUDIES,27.1
10,GENERAL EDUCATION,12,SCIENCE,27.8
10,SPECIAL CLASS - Grades K-9#,12:1           ,,10.8
10,SPECIAL CLASS - Grades K-9#,12:1:1         ,,11
10,SPECIAL CLASS - High School,Mainstream,ENGLISH,20
10,SPECIAL CLASS - High School,Mainstream,MATH   ,21.2
10,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,22.3
10,SPECIAL CLASS - High School,Mainstream,SCIENCE,22.5
10,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.7
10,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.4
10,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.6
10,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.6
10,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.3
10,COLLABORATIVE TEAM TEACHING    ,1,,13.6
10,COLLABORATIVE TEAM TEACHING    ,2,,15.1
10,COLLABORATIVE TEAM TEACHING    ,3,,21.6
10,COLLABORATIVE TEAM TEACHING    ,4,,21.2
10,COLLABORATIVE TEAM TEACHING    ,5,,23.2
10,COLLABORATIVE TEAM TEACHING    ,6,,26.1
10,COLLABORATIVE TEAM TEACHING    ,7,,24.5
10,COLLABORATIVE TEAM TEACHING    ,8,,27
10,GIFTED & TALENTED    ,6,,29.7
10,GIFTED & TALENTED    ,7,,29.2
10,GIFTED & TALENTED    ,8,,30.6
11,GENERAL EDUCATION ,Kindergarten             ,,21.5
11,GENERAL EDUCATION ,1,,22.3
11,GENERAL EDUCATION ,2,,21.5
11,GENERAL EDUCATION ,3,,22.7
11,GENERAL EDUCATION ,4,,23
11,GENERAL EDUCATION ,5,,25.2
