NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES                        ,445,6,$150000.00,$285812.00,$261037.00,$485000.00
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES                        ,543,9,$150000.00,$416195.00,$410000.00,$629000.00
KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES                      ,174,1,$390000.00,$390000.00,$390000.00,$390000.00
MELROSE/CONCOURSE        ,01 ONE FAMILY HOMES                        ,112,2,$295000.00,$310000.00,$310000.00,$325000.00
MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES                        ,385,17,$157000.00,$330718.00,$355100.00,$574778.00
MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES                      ,454,11,$223777.00,$386064.00,$365000.00,$560000.00
MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES                        ,912,20,$245000.00,$412220.00,$422500.00,$540000.00
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES                        ,1747,47,$160000.00,$397964.00,$390000.00,$550000.00
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES                      ,520,12,$250000.00,$512042.00,$502500.00,$785000.00
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES                        ,748,15,$150500.00,$272354.00,$293195.00,$335000.00
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES                        ,1254,20,$150000.00,$340462.00,$321497.00,$667371.00
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES                      ,976,43,$150000.00,$415343.00,$449783.00,$679557.00
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES                        ,250,2,$350000.00,$356000.00,$356000.00,$362000.00
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES                        ,480,9,$150000.00,$350687.00,$390000.00,$450000.00
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES                      ,216,1,$925721.00,$925721.00,$925721.00,$925721.00
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES                        ,59,1,$321426.00,$321426.00,$321426.00,$321426.00
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES                        ,212,9,$225000.00,$431961.00,$442000.00,$800000.00
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES                      ,179,1,$585000.00,$585000.00,$585000.00,$585000.00
PARKCHESTER              ,01 ONE FAMILY HOMES                        ,133,3,$150000.00,$290042.00,$250000.00,$470127.00
PARKCHESTER              ,02 TWO FAMILY HOMES                        ,591,20,$156000.00,$362829.00,$380500.00,$500000.00
PARKCHESTER              ,03 THREE FAMILY HOMES                      ,332,6,$276500.00,$462329.00,$467000.00,$566500.00
PELHAM GARDENS           ,01 ONE FAMILY HOMES                        ,710,14,$300000.00,$485150.00,$445750.00,$799999.00
PELHAM GARDENS           ,02 TWO FAMILY HOMES                        ,405,10,$350000.00,$514499.00,$490000.00,$714285.00
PELHAM GARDENS           ,03 THREE FAMILY HOMES                      ,32,1,$590000.00,$590000.00,$590000.00,$590000.00
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES                        ,968,14,$260000.00,$464929.00,$445000.00,$800000.00
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES                        ,1115,31,$218324.00,$481154.00,$440000.00,$925000.00
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES                      ,179,6,$250000.00,$546250.00,$555000.00,$750000.00
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES                        ,483,8,$400000.00,$483375.00,$486000.00,$535000.00
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES                        ,500,13,$200000.00,$482919.00,$476000.00,$670000.00
PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES                      ,117,3,$550500.00,$590167.00,$555000.00,$665000.00
RIVERDALE                ,01 ONE FAMILY HOMES                        ,1170,16,$425000.00,$1391750.00,$860250.00,$5000000.00
RIVERDALE                ,02 TWO FAMILY HOMES                        ,434,6,$281550.00,$595758.00,$610250.00,$810000.00
RIVERDALE                ,03 THREE FAMILY HOMES                      ,138,2,$480000.00,$711875.00,$711875.00,$943750.00
SCHUYLERVILLE/PELHAM BAY ,01 ONE FAMILY HOMES                        ,1149,22,$200000.00,$357657.00,$371150.00,$470000.00
SCHUYLERVILLE/PELHAM BAY ,02 TWO FAMILY HOMES                        ,1547,45,$150000.00,$499851.00,$505000.00,$700556.00
SCHUYLERVILLE/PELHAM BAY ,03 THREE FAMILY HOMES                      ,539,10,$150000.00,$478110.00,$526875.00,$664350.00
SOUNDVIEW                ,01 ONE FAMILY HOMES                        ,908,29,$169000.00,$307050.00,$316456.00,$422782.00
SOUNDVIEW                ,02 TWO FAMILY HOMES                        ,2143,53,$150000.00,$413103.00,$437750.00,$665889.00
SOUNDVIEW                ,03 THREE FAMILY HOMES                      ,1289,28,$229900.00,$483550.00,$477500.00,$724174.00
THROGS NECK              ,01 ONE FAMILY HOMES                        ,2368,58,$150000.00,$373870.00,$387500.00,$530450.00
THROGS NECK              ,02 TWO FAMILY HOMES                        ,1912,36,$150000.00,$423244.00,$398370.00,$660844.00
THROGS NECK              ,03 THREE FAMILY HOMES                      ,309,5,$339690.00,$486556.00,$400000.00,$732292.00
WAKEFIELD                ,01 ONE FAMILY HOMES                        ,1519,40,$163508.00,$297651.00,$317261.00,$400000.00
WAKEFIELD                ,02 TWO FAMILY HOMES                        ,1988,56,$180000.00,$421869.00,$426500.00,$622864.00
WAKEFIELD                ,03 THREE FAMILY HOMES                      ,461,9,$313983.00,$499087.00,$525000.00,$565000.00
WESTCHESTER              ,01 ONE FAMILY HOMES                        ,376,16,$190000.00,$312680.00,$287030.00,$650000.00
WESTCHESTER              ,02 TWO FAMILY HOMES                        ,951,33,$180000.00,$383681.00,$396265.00,$550000.00
WESTCHESTER              ,03 THREE FAMILY HOMES                      ,347,8,$260000.00,$482243.00,$525672.00,$670000.00
WILLIAMSBRIDGE           ,01 ONE FAMILY HOMES                        ,1159,38,$160000.00,$285945.00,$277500.00,$530000.00
WILLIAMSBRIDGE           ,02 TWO FAMILY HOMES                        ,2474,76,$160000.00,$367631.00,$387358.00,$825000.00
WILLIAMSBRIDGE           ,03 THREE FAMILY HOMES                      ,1001,35,$205250.00,$516895.00,$571645.00,$675000.00
WOODLAWN                 ,01 ONE FAMILY HOMES                        ,444,8,$150000.00,$346250.00,$375000.00,$575000.00
WOODLAWN                 ,02 TWO FAMILY HOMES                        ,475,7,$295000.00,$427571.00,$416000.00,$592000.00
